goterm	gene	cv	fdr
GO:0007166	MYH10	0.44	0.823
GO:0007166	NF1	0.47	0.588
GO:0007166	NOTCH2	0.43	0.438
GO:0007166	NUP98	0.65	3.76e-13
GO:0007166	UBR5	0.33	0.235
GO:0007166	PIK3CA	0.36	0.507
GO:0007166	PLXNA1	0.13	0.836
GO:0007166	PHIP	0.47	0.331
GO:0007166	PRKCA	0.24	0.781
GO:0007166	KIDINS220	0.39	0.81
GO:0007166	CHD8	0.55	0.000505
GO:0007166	SPTAN1	0.31	0.695
GO:0007166	SPTBN1	0.41	0.642
GO:0007166	THBS1	0.83	0
GO:0007166	TPR	0.36	0.709
GO:0007166	USP9X	0.31	0.813
GO:0007166	FZD4	0.32	0.691
GO:0007166	CBL	0.42	0.623
GO:0007166	IQGAP1	0.35	0.797
GO:0007166	ROCK2	0.51	0.00105
GO:0007166	USP34	0.29	0.766
GO:0006807	PRPF8	0.43	0.842
GO:0006807	CENPF	0.43	0.603
GO:0006807	POLQ	0.39	0.211
GO:0006807	ASCC3	0.46	0.617
GO:0006807	CREBBP	0.39	0.779
GO:0006807	VCAN	0.45	0.475
GO:0006807	EGFR	0.39	0.7
GO:0006807	ZFC3H1	0.34	0.76
GO:0006807	ABCA2	0.35	0.748
GO:0006807	FASN	0.55	1.36e-09
GO:0006807	FLNA	0.45	0.728
GO:0006807	PDS5A	0.49	0.486
GO:0006807	UBR2	0.35	0.681
GO:0006807	CBX5	0.39	0.396
GO:0006807	SRRM2	0.27	0.837
GO:0006807	FOSB	0.57	0.00324
GO:0006807	RNF169	0.37	0.721
GO:0006807	DIEXF	0.36	0.497
GO:0006807	AFF4	0.22	0.808
GO:0006807	TNRC6A	0.35	0.788
GO:0006807	GTF3C1	0.39	0.803
GO:0006807	HIVEP1	0.37	0.704
GO:0006807	HIVEP2	0.47	0.724
GO:0006807	NR4A1	0.42	0.186
GO:0006807	ZKSCAN2	0.42	0.348
GO:0006807	MKI67	0.62	0.000134
GO:0006807	NF1	0.47	0.588
GO:0006807	NOTCH2	0.43	0.438
GO:0006807	NUP98	0.65	3.76e-13
GO:0006807	UBR5	0.33	0.235
GO:0006807	PIK3CA	0.36	0.507
GO:0006807	PHIP	0.47	0.331
GO:0006807	PRKCA	0.24	0.781
GO:0006807	PRKDC	0.36	0.732
GO:0006807	CHD8	0.55	0.000505
GO:0006807	PTPN14	0.38	0.818
GO:0006807	REV3L	0.34	0.257
GO:0006807	SON	0.38	0.832
GO:0006807	BRCA2	0.4	0.424
GO:0006807	TEAD1	0.61	0
GO:0006807	THBS1	0.83	0
GO:0006807	TPR	0.36	0.709
GO:0006807	CACNA1A	0.41	0.38
GO:0006807	NRIP1	0.23	0.79
GO:0006807	USP9X	0.31	0.813
GO:0006807	FZD4	0.32	0.691
GO:0006807	SMARCA5	0.43	0.0787
GO:0006807	HELZ2	0.39	0.546
GO:0006807	CBL	0.42	0.623
GO:0006807	HERC2	0.42	0.596
GO:0006807	DSEL	0.3	0.833
GO:0006807	MED14	0.45	0.364
GO:0006807	GTF3C4	0.24	0.755
GO:0006807	H6PD	0.38	0.839
GO:0010256	LYST	0.31	0.572
GO:0010256	COL5A1	0.42	0.654
GO:0010256	DNAJC13	0.34	0.806
GO:0010256	MYH10	0.44	0.823
GO:0010256	NUP98	0.65	3.76e-13
GO:0010256	PRKCA	0.24	0.781
GO:0010256	SPTBN1	0.41	0.642
GO:0010256	TPR	0.36	0.709
GO:0010256	ROCK2	0.51	0.00105
GO:0048732	EGFR	0.39	0.7
GO:0048732	FASN	0.55	1.36e-09
GO:0048732	TNC	0.45	0.776
GO:0048732	MKI67	0.62	0.000134
GO:0048732	NF1	0.47	0.588
GO:0048732	PIK3CA	0.36	0.507
GO:0048732	PLXNA1	0.13	0.836
GO:0048732	PRKDC	0.36	0.732
GO:0048732	BRCA2	0.4	0.424
GO:0051704	LYST	0.31	0.572
GO:0051704	CREBBP	0.39	0.779
GO:0051704	VPS13A	0.45	0.277
GO:0051704	UBR2	0.35	0.681
GO:0051704	CBX5	0.39	0.396
GO:0051704	FOSB	0.57	0.00324
GO:0051704	AFF4	0.22	0.808
GO:0051704	ITGA2	0.37	0.671
GO:0051704	NUP98	0.65	3.76e-13
GO:0051704	PAPPA	1.1	0
GO:0051704	PRKCA	0.24	0.781
GO:0051704	BRCA2	0.4	0.424
GO:0051704	TLN1	0.45	0.844
GO:0051704	TPR	0.36	0.709
GO:0051704	NRIP1	0.23	0.79
GO:0051704	USP9X	0.31	0.813
GO:0051704	HERC2	0.42	0.596
GO:0009719	EGFR	0.39	0.7
GO:0009719	ABCA2	0.35	0.748
GO:0009719	FBN1	0.31	0.841
GO:0009719	FBN2	0.62	0.00756
GO:0009719	UBR2	0.35	0.681
GO:0009719	FOSB	0.57	0.00324
GO:0009719	SLC7A11	0.35	0.822
GO:0009719	TNRC6A	0.35	0.788
GO:0009719	NR4A1	0.42	0.186
GO:0009719	NF1	0.47	0.588
GO:0009719	PIK3CA	0.36	0.507
GO:0009719	SSH1	0.33	0.713
GO:0009719	PHIP	0.47	0.331
GO:0009719	PRKCA	0.24	0.781
GO:0009719	PRKDC	0.36	0.732
GO:0009719	KIDINS220	0.39	0.81
GO:0009719	SPTAN1	0.31	0.695
GO:0009719	SPTBN1	0.41	0.642
GO:0009719	BRCA2	0.4	0.424
GO:0009719	THBS1	0.83	0
GO:0009719	TPR	0.36	0.709
GO:0009719	NRIP1	0.23	0.79
GO:0009719	USP9X	0.31	0.813
GO:0009719	CBL	0.42	0.623
GO:0009719	IQGAP1	0.35	0.797
GO:0009719	ROCK2	0.51	0.00105
GO:0022402	CENPF	0.43	0.603
GO:0022402	CEP250	0.38	0.769
GO:0022402	CREBBP	0.39	0.779
GO:0022402	DYNC1H1	0.54	0.41
GO:0022402	EGFR	0.39	0.7
GO:0022402	FLNA	0.45	0.728
GO:0022402	PDS5A	0.49	0.486
GO:0022402	UBR2	0.35	0.681
GO:0022402	MKI67	0.62	0.000134
GO:0022402	MYH10	0.44	0.823
GO:0022402	NOTCH2	0.43	0.438
GO:0022402	NUMA1	0.34	0.845
GO:0022402	NUP98	0.65	3.76e-13
GO:0022402	PHIP	0.47	0.331
GO:0022402	PRKCA	0.24	0.781
GO:0022402	PRKDC	0.36	0.732
GO:0022402	STARD9	0.29	0.636
GO:0022402	SON	0.38	0.832
GO:0022402	SPTBN1	0.41	0.642
GO:0022402	BRCA2	0.4	0.424
GO:0022402	THBS1	0.83	0
GO:0022402	TPR	0.36	0.709
GO:0022402	ALMS1	0.45	0.296
GO:0022402	USP9X	0.31	0.813
GO:0022402	ROCK2	0.51	0.00105
GO:0022402	CKAP5	0.43	0.527
GO:0050794	CENPF	0.43	0.603
GO:0050794	POLQ	0.39	0.211
GO:0050794	ASCC3	0.46	0.617
GO:0050794	CEP250	0.38	0.769
GO:0050794	AKAP11	0.32	0.686
GO:0050794	LYST	0.31	0.572
GO:0050794	COL5A1	0.42	0.654
GO:0050794	COL7A1	1.24	3.41e-35
GO:0050794	CREBBP	0.39	0.779
GO:0050794	AMOTL1	0.3	0.792
GO:0050794	EGFR	0.39	0.7
GO:0050794	ABCA2	0.35	0.748
GO:0050794	FASN	0.55	1.36e-09
GO:0050794	FBN1	0.31	0.841
GO:0050794	FBN2	0.62	0.00756
GO:0050794	SIPA1L3	0.36	0.774
GO:0050794	FLNA	0.45	0.728
GO:0050794	FLNB	0.39	0.794
GO:0050794	PDS5A	0.49	0.486
GO:0050794	UBR2	0.35	0.681
GO:0050794	DNAJC13	0.34	0.806
GO:0050794	USP24	0.4	0.742
GO:0050794	CBX5	0.39	0.396
GO:0050794	FOSB	0.57	0.00324
GO:0050794	RNF169	0.37	0.721
GO:0050794	AFF4	0.22	0.808
GO:0050794	TNRC6A	0.35	0.788
GO:0050794	ARL10	0.36	0.61
GO:0050794	TMOD2	0.4	0.537
GO:0050794	HIVEP1	0.37	0.704
GO:0050794	HIVEP2	0.47	0.724
GO:0050794	NR4A1	0.42	0.186
GO:0050794	TNC	0.45	0.776
GO:0050794	ZKSCAN2	0.42	0.348
GO:0050794	IGF2R	0.29	0.831
GO:0050794	ITGA2	0.37	0.671
GO:0050794	KPNA4	0.32	0.58
GO:0050794	LRP1	0.43	0.107
GO:0050794	MYH10	0.44	0.823
GO:0050794	NF1	0.47	0.588
GO:0050794	NOTCH2	0.43	0.438
GO:0050794	NUP98	0.65	3.76e-13
GO:0050794	UBR5	0.33	0.235
GO:0050794	PIK3CA	0.36	0.507
GO:0050794	PLXNA1	0.13	0.836
GO:0050794	SSH1	0.33	0.713
GO:0050794	PHIP	0.47	0.331
GO:0050794	PRKCA	0.24	0.781
GO:0050794	PRKDC	0.36	0.732
GO:0050794	KIDINS220	0.39	0.81
GO:0050794	CHD8	0.55	0.000505
GO:0050794	PTPN14	0.38	0.818
GO:0050794	RAB3B	0.41	0.63
GO:0050794	AFAP1	0.28	0.82
GO:0050794	SON	0.38	0.832
GO:0050794	SPTAN1	0.31	0.695
GO:0050794	SPTBN1	0.41	0.642
GO:0050794	BRCA2	0.4	0.424
GO:0050794	TEAD1	0.61	0
GO:0050794	THBS1	0.83	0
GO:0050794	TLN1	0.45	0.844
GO:0050794	TPR	0.36	0.709
GO:0050794	CACNA1A	0.41	0.38
GO:0050794	ALMS1	0.45	0.296
GO:0050794	NRIP1	0.23	0.79
GO:0050794	USP9X	0.31	0.813
GO:0050794	FZD4	0.32	0.691
GO:0050794	SMARCA5	0.43	0.0787
GO:0050794	DOCK7	0.35	0.786
GO:0050794	HELZ2	0.39	0.546
GO:0050794	CBL	0.42	0.623
GO:0050794	IQGAP1	0.35	0.797
GO:0050794	MED14	0.45	0.364
GO:0050794	ROCK2	0.51	0.00105
GO:0050794	USP34	0.29	0.766
GO:0050794	PIEZO1	0.29	0.648
GO:0050794	CKAP5	0.43	0.527
GO:0007049	CENPF	0.43	0.603
GO:0007049	CEP250	0.38	0.769
GO:0007049	CREBBP	0.39	0.779
GO:0007049	DYNC1H1	0.54	0.41
GO:0007049	EGFR	0.39	0.7
GO:0007049	FLNA	0.45	0.728
GO:0007049	PDS5A	0.49	0.486
GO:0007049	UBR2	0.35	0.681
GO:0007049	NR4A1	0.42	0.186
GO:0007049	MKI67	0.62	0.000134
GO:0007049	MYH10	0.44	0.823
GO:0007049	NOTCH2	0.43	0.438
GO:0007049	NUMA1	0.34	0.845
GO:0007049	NUP98	0.65	3.76e-13
GO:0007049	PHIP	0.47	0.331
GO:0007049	PRKCA	0.24	0.781
GO:0007049	PRKDC	0.36	0.732
GO:0007049	STARD9	0.29	0.636
GO:0007049	SON	0.38	0.832
GO:0007049	SPTBN1	0.41	0.642
GO:0007049	BRCA2	0.4	0.424
GO:0007049	THBS1	0.83	0
GO:0007049	TPR	0.36	0.709
GO:0007049	ALMS1	0.45	0.296
GO:0007049	USP9X	0.31	0.813
GO:0007049	ROCK2	0.51	0.00105
GO:0007049	CKAP5	0.43	0.527
GO:0044249	CENPF	0.43	0.603
GO:0044249	POLQ	0.39	0.211
GO:0044249	MAN1A2	0.31	0.771
GO:0044249	ASCC3	0.46	0.617
GO:0044249	CREBBP	0.39	0.779
GO:0044249	VCAN	0.45	0.475
GO:0044249	EGFR	0.39	0.7
GO:0044249	ABCA2	0.35	0.748
GO:0044249	FASN	0.55	1.36e-09
GO:0044249	FLNA	0.45	0.728
GO:0044249	PDS5A	0.49	0.486
GO:0044249	UBR2	0.35	0.681
GO:0044249	CBX5	0.39	0.396
GO:0044249	FOSB	0.57	0.00324
GO:0044249	AFF4	0.22	0.808
GO:0044249	TNRC6A	0.35	0.788
GO:0044249	GTF3C1	0.39	0.803
GO:0044249	HIVEP1	0.37	0.704
GO:0044249	HIVEP2	0.47	0.724
GO:0044249	NR4A1	0.42	0.186
GO:0044249	ZKSCAN2	0.42	0.348
GO:0044249	NF1	0.47	0.588
GO:0044249	NOTCH2	0.43	0.438
GO:0044249	NUP98	0.65	3.76e-13
GO:0044249	PIK3CA	0.36	0.507
GO:0044249	PHIP	0.47	0.331
GO:0044249	PRKCA	0.24	0.781
GO:0044249	PRKDC	0.36	0.732
GO:0044249	CHD8	0.55	0.000505
GO:0044249	PTPN14	0.38	0.818
GO:0044249	REV3L	0.34	0.257
GO:0044249	BRCA2	0.4	0.424
GO:0044249	TEAD1	0.61	0
GO:0044249	THBS1	0.83	0
GO:0044249	TPR	0.36	0.709
GO:0044249	CACNA1A	0.41	0.38
GO:0044249	NRIP1	0.23	0.79
GO:0044249	USP9X	0.31	0.813
GO:0044249	FZD4	0.32	0.691
GO:0044249	SMARCA5	0.43	0.0787
GO:0044249	AGPS	0.42	0.555
GO:0044249	HELZ2	0.39	0.546
GO:0044249	CBL	0.42	0.623
GO:0044249	DSEL	0.3	0.833
GO:0044249	MED14	0.45	0.364
GO:0044249	GTF3C4	0.24	0.755
GO:1901576	CENPF	0.43	0.603
GO:1901576	POLQ	0.39	0.211
GO:1901576	MAN1A2	0.31	0.771
GO:1901576	ASCC3	0.46	0.617
GO:1901576	COL5A1	0.42	0.654
GO:1901576	CREBBP	0.39	0.779
GO:1901576	VCAN	0.45	0.475
GO:1901576	EGFR	0.39	0.7
GO:1901576	ABCA2	0.35	0.748
GO:1901576	FASN	0.55	1.36e-09
GO:1901576	FLNA	0.45	0.728
GO:1901576	PDS5A	0.49	0.486
GO:1901576	UBR2	0.35	0.681
GO:1901576	CBX5	0.39	0.396
GO:1901576	FOSB	0.57	0.00324
GO:1901576	AFF4	0.22	0.808
GO:1901576	TNRC6A	0.35	0.788
GO:1901576	GTF3C1	0.39	0.803
GO:1901576	HIVEP1	0.37	0.704
GO:1901576	HIVEP2	0.47	0.724
GO:1901576	NR4A1	0.42	0.186
GO:1901576	ZKSCAN2	0.42	0.348
GO:1901576	NF1	0.47	0.588
GO:1901576	NOTCH2	0.43	0.438
GO:1901576	NUP98	0.65	3.76e-13
GO:1901576	PIK3CA	0.36	0.507
GO:1901576	PHIP	0.47	0.331
GO:1901576	PRKCA	0.24	0.781
GO:1901576	PRKDC	0.36	0.732
GO:1901576	CHD8	0.55	0.000505
GO:1901576	PTPN14	0.38	0.818
GO:1901576	REV3L	0.34	0.257
GO:1901576	BRCA2	0.4	0.424
GO:1901576	TEAD1	0.61	0
GO:1901576	THBS1	0.83	0
GO:1901576	TPR	0.36	0.709
GO:1901576	NRIP1	0.23	0.79
GO:1901576	USP9X	0.31	0.813
GO:1901576	FZD4	0.32	0.691
GO:1901576	SMARCA5	0.43	0.0787
GO:1901576	AGPS	0.42	0.555
GO:1901576	HELZ2	0.39	0.546
GO:1901576	CBL	0.42	0.623
GO:1901576	DSEL	0.3	0.833
GO:1901576	MED14	0.45	0.364
GO:1901576	GTF3C4	0.24	0.755
GO:0001568	COL5A1	0.42	0.654
GO:0001568	NR4A1	0.42	0.186
GO:0001568	LRP1	0.43	0.107
GO:0001568	NF1	0.47	0.588
GO:0001568	PIK3CA	0.36	0.507
GO:0001568	PRKCA	0.24	0.781
GO:0001568	THBS1	0.83	0
GO:0001568	LUZP1	0.32	0.783
GO:0001568	FZD4	0.32	0.691
GO:0001568	ROCK2	0.51	0.00105
GO:0005975	MAN1A2	0.31	0.771
GO:0005975	VCAN	0.45	0.475
GO:0005975	NUP98	0.65	3.76e-13
GO:0005975	PIK3CA	0.36	0.507
GO:0005975	SLC5A3	0.54	0.0522
GO:0005975	THBS1	0.83	0
GO:0005975	TPR	0.36	0.709
GO:0005975	CACNA1A	0.41	0.38
GO:0005975	DSEL	0.3	0.833
GO:0005975	H6PD	0.38	0.839
GO:0022603	COL5A1	0.42	0.654
GO:0022603	FLNA	0.45	0.728
GO:0022603	MYH10	0.44	0.823
GO:0022603	NF1	0.47	0.588
GO:0022603	SSH1	0.33	0.713
GO:0022603	PHIP	0.47	0.331
GO:0022603	PRKCA	0.24	0.781
GO:0022603	THBS1	0.83	0
GO:0022603	CACNA1A	0.41	0.38
GO:0022603	ROCK2	0.51	0.00105
GO:0044087	TMOD2	0.4	0.537
GO:0044087	SSH1	0.33	0.713
GO:0044087	PRKCA	0.24	0.781
GO:0044087	SPTAN1	0.31	0.695
GO:0044087	SPTBN1	0.41	0.642
GO:0044087	THBS1	0.83	0
GO:0044087	TPR	0.36	0.709
GO:0044087	ALMS1	0.45	0.296
GO:0044087	ROCK2	0.51	0.00105
GO:0044087	PIEZO1	0.29	0.648
GO:0045944	CREBBP	0.39	0.779
GO:0045944	EGFR	0.39	0.7
GO:0045944	FOSB	0.57	0.00324
GO:0045944	NR4A1	0.42	0.186
GO:0045944	PHIP	0.47	0.331
GO:0045944	PRKDC	0.36	0.732
GO:0045944	CHD8	0.55	0.000505
GO:0045944	NRIP1	0.23	0.79
GO:0045944	HELZ2	0.39	0.546
GO:0045944	MED14	0.45	0.364
GO:0055085	ASCC3	0.46	0.617
GO:0055085	ABCA2	0.35	0.748
GO:0055085	SLC7A11	0.35	0.822
GO:0055085	NUP98	0.65	3.76e-13
GO:0055085	SLC5A3	0.54	0.0522
GO:0055085	THBS1	0.83	0
GO:0055085	TPR	0.36	0.709
GO:0055085	CACNA1A	0.41	0.38
GO:0055085	SLC38A1	0.48	0.134
GO:0055085	PIEZO1	0.29	0.648
GO:0001666	CREBBP	0.39	0.779
GO:0001666	NF1	0.47	0.588
GO:0001666	THBS1	0.83	0
GO:0001704	COL5A1	0.42	0.654
GO:0001704	COL7A1	1.24	3.41e-35
GO:0001704	ITGA2	0.37	0.671
GO:0001889	MKI67	0.62	0.000134
GO:0001889	NF1	0.47	0.588
GO:0001889	PIK3CA	0.36	0.507
GO:0002064	FLNB	0.39	0.794
GO:0002064	IQGAP1	0.35	0.797
GO:0002064	ROCK2	0.51	0.00105
GO:0002576	FLNA	0.45	0.728
GO:0002576	THBS1	0.83	0
GO:0002576	TLN1	0.45	0.844
GO:0002683	NF1	0.47	0.588
GO:0002683	PRKDC	0.36	0.732
GO:0002683	THBS1	0.83	0
GO:0002694	LYST	0.31	0.572
GO:0002694	PIK3CA	0.36	0.507
GO:0002694	THBS1	0.83	0
GO:0002696	LYST	0.31	0.572
GO:0002696	PIK3CA	0.36	0.507
GO:0002696	THBS1	0.83	0
GO:0003007	COL5A1	0.42	0.654
GO:0003007	NOTCH2	0.43	0.438
GO:0003007	THBS1	0.83	0
GO:0006022	VCAN	0.45	0.475
GO:0006022	MKI67	0.62	0.000134
GO:0006022	DSEL	0.3	0.833
GO:0006140	NF1	0.47	0.588
GO:0006140	PRKCA	0.24	0.781
GO:0006140	THBS1	0.83	0
GO:0006163	NF1	0.47	0.588
GO:0006163	PRKCA	0.24	0.781
GO:0006163	THBS1	0.83	0
GO:0006338	CHD8	0.55	0.000505
GO:0006338	TPR	0.36	0.709
GO:0006338	SMARCA5	0.43	0.0787
GO:0006383	GTF3C1	0.39	0.803
GO:0006383	CHD8	0.55	0.000505
GO:0006383	GTF3C4	0.24	0.755
GO:0006403	NUP98	0.65	3.76e-13
GO:0006403	TPR	0.36	0.709
GO:0006403	CKAP5	0.43	0.527
GO:0006412	TNRC6A	0.35	0.788
GO:0006412	THBS1	0.83	0
GO:0006412	TPR	0.36	0.709
GO:0006417	TNRC6A	0.35	0.788
GO:0006417	THBS1	0.83	0
GO:0006417	TPR	0.36	0.709
GO:0006470	SSH1	0.33	0.713
GO:0006470	PTPN14	0.38	0.818
GO:0006470	ROCK2	0.51	0.00105
GO:0006518	TNRC6A	0.35	0.788
GO:0006518	THBS1	0.83	0
GO:0006518	TPR	0.36	0.709
GO:0006909	LRP1	0.43	0.107
GO:0006909	PIK3CA	0.36	0.507
GO:0006909	THBS1	0.83	0
GO:0006954	PIK3CA	0.36	0.507
GO:0006954	PRKCA	0.24	0.781
GO:0006954	THBS1	0.83	0
GO:0006979	SLC7A11	0.35	0.822
GO:0006979	KPNA4	0.32	0.58
GO:0006979	THBS1	0.83	0
GO:0006998	NUP98	0.65	3.76e-13
GO:0006998	PRKCA	0.24	0.781
GO:0006998	TPR	0.36	0.709
GO:0007043	PRKCA	0.24	0.781
GO:0007043	TLN1	0.45	0.844
GO:0007043	ROCK2	0.51	0.00105
GO:0007077	NUP98	0.65	3.76e-13
GO:0007077	PRKCA	0.24	0.781
GO:0007077	TPR	0.36	0.709
GO:0007098	CEP250	0.38	0.769
GO:0007098	BRCA2	0.4	0.424
GO:0007098	ROCK2	0.51	0.00105
GO:0007126	UBR2	0.35	0.681
GO:0007126	MKI67	0.62	0.000134
GO:0007126	BRCA2	0.4	0.424
GO:0007162	NF1	0.47	0.588
GO:0007162	THBS1	0.83	0
GO:0007162	FZD4	0.32	0.691
GO:0007369	COL5A1	0.42	0.654
GO:0007369	COL7A1	1.24	3.41e-35
GO:0007369	ITGA2	0.37	0.671
GO:0007623	PRKDC	0.36	0.732
GO:0007623	NRIP1	0.23	0.79
GO:0007623	ROCK2	0.51	0.00105
GO:0008610	FASN	0.55	1.36e-09
GO:0008610	PIK3CA	0.36	0.507
GO:0008610	AGPS	0.42	0.555
GO:0008643	NUP98	0.65	3.76e-13
GO:0008643	PRKCA	0.24	0.781
GO:0008643	TPR	0.36	0.709
GO:0008645	NUP98	0.65	3.76e-13
GO:0008645	PRKCA	0.24	0.781
GO:0008645	TPR	0.36	0.709
GO:0009150	NF1	0.47	0.588
GO:0009150	PRKCA	0.24	0.781
GO:0009150	THBS1	0.83	0
GO:0009187	NF1	0.47	0.588
GO:0009187	PRKCA	0.24	0.781
GO:0009187	THBS1	0.83	0
GO:0009259	NF1	0.47	0.588
GO:0009259	PRKCA	0.24	0.781
GO:0009259	THBS1	0.83	0
GO:0009743	PIK3CA	0.36	0.507
GO:0009743	PRKCA	0.24	0.781
GO:0009743	THBS1	0.83	0
GO:0010608	TNRC6A	0.35	0.788
GO:0010608	THBS1	0.83	0
GO:0010608	TPR	0.36	0.709
GO:0010812	NF1	0.47	0.588
GO:0010812	THBS1	0.83	0
GO:0010812	FZD4	0.32	0.691
GO:0010827	NUP98	0.65	3.76e-13
GO:0010827	PRKCA	0.24	0.781
GO:0010827	TPR	0.36	0.709
GO:0010942	NF1	0.47	0.588
GO:0010942	PRKDC	0.36	0.732
GO:0010942	THBS1	0.83	0
GO:0015718	NF1	0.47	0.588
GO:0015718	THBS1	0.83	0
GO:0015718	CACNA1A	0.41	0.38
GO:0015749	NUP98	0.65	3.76e-13
GO:0015749	PRKCA	0.24	0.781
GO:0015749	TPR	0.36	0.709
GO:0015758	NUP98	0.65	3.76e-13
GO:0015758	PRKCA	0.24	0.781
GO:0015758	TPR	0.36	0.709
GO:0015931	NUP98	0.65	3.76e-13
GO:0015931	TPR	0.36	0.709
GO:0015931	CKAP5	0.43	0.527
GO:0016053	VCAN	0.45	0.475
GO:0016053	FASN	0.55	1.36e-09
GO:0016053	DSEL	0.3	0.833
GO:0016925	NUP98	0.65	3.76e-13
GO:0016925	TPR	0.36	0.709
GO:0016925	HERC2	0.42	0.596
GO:0019058	ITGA2	0.37	0.671
GO:0019058	NUP98	0.65	3.76e-13
GO:0019058	TPR	0.36	0.709
GO:0019882	DYNC1H1	0.54	0.41
GO:0019882	RAB3B	0.41	0.63
GO:0019882	THBS1	0.83	0
GO:0030203	VCAN	0.45	0.475
GO:0030203	MKI67	0.62	0.000134
GO:0030203	DSEL	0.3	0.833
GO:0030336	LRP1	0.43	0.107
GO:0030336	NF1	0.47	0.588
GO:0030336	THBS1	0.83	0
GO:0030397	NUP98	0.65	3.76e-13
GO:0030397	PRKCA	0.24	0.781
GO:0030397	TPR	0.36	0.709
GO:0030595	LYST	0.31	0.572
GO:0030595	PRKCA	0.24	0.781
GO:0030595	THBS1	0.83	0
GO:0030799	NF1	0.47	0.588
GO:0030799	PRKCA	0.24	0.781
GO:0030799	THBS1	0.83	0
GO:0032368	ABCA2	0.35	0.748
GO:0032368	LRP1	0.43	0.107
GO:0032368	THBS1	0.83	0
GO:0032787	VCAN	0.45	0.475
GO:0032787	FASN	0.55	1.36e-09
GO:0032787	DSEL	0.3	0.833
GO:0034248	TNRC6A	0.35	0.788
GO:0034248	THBS1	0.83	0
GO:0034248	TPR	0.36	0.709
GO:0036293	CREBBP	0.39	0.779
GO:0036293	NF1	0.47	0.588
GO:0036293	THBS1	0.83	0
GO:0040013	LRP1	0.43	0.107
GO:0040013	NF1	0.47	0.588
GO:0040013	THBS1	0.83	0
GO:0043043	TNRC6A	0.35	0.788
GO:0043043	THBS1	0.83	0
GO:0043043	TPR	0.36	0.709
GO:0043065	NF1	0.47	0.588
GO:0043065	PRKDC	0.36	0.732
GO:0043065	THBS1	0.83	0
GO:0043068	NF1	0.47	0.588
GO:0043068	PRKDC	0.36	0.732
GO:0043068	THBS1	0.83	0
GO:0043269	RAB3B	0.41	0.63
GO:0043269	THBS1	0.83	0
GO:0043269	CACNA1A	0.41	0.38
GO:0043406	EGFR	0.39	0.7
GO:0043406	THBS1	0.83	0
GO:0043406	FZD4	0.32	0.691
GO:0043491	EGFR	0.39	0.7
GO:0043491	PIK3CA	0.36	0.507
GO:0043491	THBS1	0.83	0
GO:0043536	AMOTL1	0.3	0.792
GO:0043536	PRKCA	0.24	0.781
GO:0043536	THBS1	0.83	0
GO:0043604	TNRC6A	0.35	0.788
GO:0043604	THBS1	0.83	0
GO:0043604	TPR	0.36	0.709
GO:0044070	RAB3B	0.41	0.63
GO:0044070	THBS1	0.83	0
GO:0044070	CACNA1A	0.41	0.38
GO:0044272	VCAN	0.45	0.475
GO:0044272	FASN	0.55	1.36e-09
GO:0044272	DSEL	0.3	0.833
GO:0044283	VCAN	0.45	0.475
GO:0044283	FASN	0.55	1.36e-09
GO:0044283	DSEL	0.3	0.833
GO:0046394	VCAN	0.45	0.475
GO:0046394	FASN	0.55	1.36e-09
GO:0046394	DSEL	0.3	0.833
GO:0048568	EGFR	0.39	0.7
GO:0048568	FBN1	0.31	0.841
GO:0048568	FBN2	0.62	0.00756
GO:0050657	NUP98	0.65	3.76e-13
GO:0050657	TPR	0.36	0.709
GO:0050657	CKAP5	0.43	0.527
GO:0050658	NUP98	0.65	3.76e-13
GO:0050658	TPR	0.36	0.709
GO:0050658	CKAP5	0.43	0.527
GO:0050680	NF1	0.47	0.588
GO:0050680	BRCA2	0.4	0.424
GO:0050680	THBS1	0.83	0
GO:0050867	LYST	0.31	0.572
GO:0050867	PIK3CA	0.36	0.507
GO:0050867	THBS1	0.83	0
GO:0051081	NUP98	0.65	3.76e-13
GO:0051081	PRKCA	0.24	0.781
GO:0051081	TPR	0.36	0.709
GO:0051236	NUP98	0.65	3.76e-13
GO:0051236	TPR	0.36	0.709
GO:0051236	CKAP5	0.43	0.527
GO:0051271	LRP1	0.43	0.107
GO:0051271	NF1	0.47	0.588
GO:0051271	THBS1	0.83	0
GO:0060560	THBS1	0.83	0
GO:0060560	USP9X	0.31	0.813
GO:0060560	IQGAP1	0.35	0.797
GO:0060828	UBR5	0.33	0.235
GO:0060828	CHD8	0.55	0.000505
GO:0060828	USP34	0.29	0.766
GO:0061008	MKI67	0.62	0.000134
GO:0061008	NF1	0.47	0.588
GO:0061008	PIK3CA	0.36	0.507
GO:0070482	CREBBP	0.39	0.779
GO:0070482	NF1	0.47	0.588
GO:0070482	THBS1	0.83	0
GO:0072330	VCAN	0.45	0.475
GO:0072330	FASN	0.55	1.36e-09
GO:0072330	DSEL	0.3	0.833
GO:0072521	NF1	0.47	0.588
GO:0072521	PRKCA	0.24	0.781
GO:0072521	THBS1	0.83	0
GO:0097191	NF1	0.47	0.588
GO:0097191	PHIP	0.47	0.331
GO:0097191	THBS1	0.83	0
GO:0097306	EGFR	0.39	0.7
GO:0097306	NRIP1	0.23	0.79
GO:0097306	ROCK2	0.51	0.00105
GO:0098656	SLC7A11	0.35	0.822
GO:0098656	THBS1	0.83	0
