feat	diff_pep	diff_fdr	diff_bf	cv_ev	cv_sd	cv_map	cv_ci_lower	cv_ci_upper
TNRC6A	1.00e0	9.95e-1	2.72	0.20	0.06	0.16	0.12	0.36
BRPF1	1.00e0	9.95e-1	2.72	0.18	0.09	0.28	0.03	0.37
OSBPL2	1.00e0	9.95e-1	2.72	0.20	0.11	0.05	0.02	0.41
ERVK13-1	1.00e0	9.95e-1	2.72	0.22	0.08	0.26	0.07	0.38
TADA2B	1.00e0	9.95e-1	2.72	0.18	0.10	0.04	0.00	0.38
PAXIP1	1.00e0	9.95e-1	2.72	0.19	0.11	0.03	0.00	0.40
C2CD3	1.00e0	9.95e-1	2.72	0.21	0.10	0.25	0.03	0.42
ZNF480	1.00e0	9.95e-1	2.72	0.22	0.09	0.33	0.08	0.40
B3GALTL	1.00e0	9.95e-1	2.72	0.18	0.11	0.03	0.00	0.40
notarget002	1.00e0	9.95e-1	2.72	0.18	0.10	0.30	0.03	0.41
CIT	1.00e0	9.95e-1	2.72	0.22	0.10	0.35	0.07	0.42
GPAM	1.00e0	9.95e-1	2.72	0.23	0.08	0.20	0.10	0.40
PIK3CA	1.00e0	9.95e-1	2.72	0.19	0.10	0.03	0.00	0.39
ARHGAP18	1.00e0	9.95e-1	2.72	0.27	0.07	0.33	0.13	0.41
ATR	1.00e0	9.95e-1	2.72	0.23	0.09	0.15	0.08	0.44
ANKRD50	1.00e0	9.95e-1	2.72	0.21	0.12	0.05	0.00	0.41
MLLT6	1.00e0	9.95e-1	2.72	0.21	0.09	0.36	0.09	0.40
ZNF25	1.00e0	9.95e-1	2.72	0.17	0.09	0.06	0.00	0.36
MSH3	1.00e0	9.95e-1	2.72	0.20	0.11	0.33	0.03	0.40
ADO	1.00e0	9.95e-1	2.72	0.21	0.08	0.31	0.07	0.35
NEK1	1.00e0	9.95e-1	2.72	0.23	0.08	0.29	0.08	0.39
SYT1	1.00e0	9.95e-1	2.72	0.19	0.10	0.06	0.02	0.38
FMNL3	1.00e0	9.95e-1	2.72	0.22	0.08	0.31	0.09	0.39
PARP14	1.00e0	9.95e-1	2.72	0.17	0.10	0.04	0.00	0.40
ZNF407	1.00e0	9.95e-1	2.72	0.21	0.10	0.33	0.04	0.37
ZSCAN30	1.00e0	9.95e-1	2.72	0.21	0.08	0.26	0.07	0.39
MAFG	1.00e0	9.95e-1	2.72	0.26	0.09	0.29	0.10	0.42
FAM217B	1.00e0	9.95e-1	2.72	0.21	0.11	0.05	0.00	0.40
ZNF41	1.00e0	9.95e-1	2.72	0.17	0.09	0.08	0.03	0.38
FAM212B	1.00e0	9.95e-1	2.72	0.23	0.08	0.36	0.10	0.39
RP11-350F4.2	1.00e0	9.95e-1	2.72	0.20	0.09	0.28	0.03	0.38
DNAH5	1.00e0	9.95e-1	2.72	0.23	0.10	0.39	0.09	0.41
EPHA2	1.00e0	9.95e-1	2.72	0.19	0.10	0.04	0.03	0.38
SLC30A1	1.00e0	9.96e-1	2.72	0.21	0.10	0.31	0.05	0.43
RFX7	1.00e0	9.96e-1	2.72	0.17	0.10	0.05	0.03	0.37
ITGA7	1.00e0	9.96e-1	2.72	0.19	0.10	0.04	0.03	0.40
PAPOLG	1.00e0	9.96e-1	2.72	0.23	0.10	0.30	0.06	0.42
UTP20	1.00e0	9.96e-1	2.72	0.23	0.09	0.34	0.08	0.39
MED23	1.00e0	9.96e-1	2.72	0.24	0.09	0.33	0.08	0.41
KLHL25	1.00e0	9.96e-1	2.72	0.18	0.10	0.33	0.00	0.35
DYNC1H1	1.00e0	9.96e-1	2.72	0.40	0.03	0.38	0.35	0.44
TRERF1	1.00e0	9.96e-1	2.72	0.19	0.10	0.04	0.03	0.41
MICAL1	1.00e0	9.96e-1	2.72	0.18	0.10	0.33	0.05	0.41
GJA3	1.00e0	9.96e-1	2.72	0.22	0.11	0.25	0.05	0.44
DDX60L	1.00e0	9.96e-1	2.72	0.18	0.10	0.07	0.00	0.38
INTS1	1.00e0	9.96e-1	2.72	0.30	0.08	0.39	0.18	0.43
ARHGEF3	1.00e0	9.96e-1	2.72	0.24	0.09	0.29	0.08	0.41
PDPK1	1.00e0	9.96e-1	2.72	0.19	0.09	0.17	0.04	0.42
PHKA2	1.00e0	9.96e-1	2.72	0.19	0.10	0.35	0.02	0.39
LEMD3	1.00e0	9.96e-1	2.72	0.21	0.10	0.31	0.04	0.42
SHC4	1.00e0	9.96e-1	2.72	0.19	0.10	0.30	0.03	0.37
NRIP1	1.00e0	9.96e-1	2.72	0.21	0.08	0.27	0.06	0.38
DZIP3	1.00e0	9.96e-1	2.72	0.20	0.10	0.34	0.03	0.40
VDR	1.00e0	9.96e-1	2.72	0.22	0.11	0.32	0.03	0.40
ZNF248	1.00e0	9.96e-1	2.72	0.23	0.10	0.38	0.07	0.40
FAN1	1.00e0	9.96e-1	2.72	0.22	0.09	0.28	0.05	0.39
DNAJC18	1.00e0	9.96e-1	2.72	0.18	0.09	0.06	0.04	0.37
SMCR7L	1.00e0	9.96e-1	2.72	0.19	0.09	0.37	0.06	0.38
ZNF202	1.00e0	9.96e-1	2.72	0.19	0.11	0.05	0.00	0.38
ZNF252P	1.00e0	9.96e-1	2.72	0.21	0.12	0.04	0.00	0.39
SLC1A1	1.00e0	9.96e-1	2.72	0.20	0.09	0.26	0.04	0.37
RAP2B	1.00e0	9.96e-1	2.72	0.21	0.09	0.11	0.07	0.41
APOLD1	1.00e0	9.96e-1	2.72	0.21	0.09	0.23	0.04	0.40
MAPKBP1	1.00e0	9.96e-1	2.72	0.23	0.09	0.33	0.08	0.40
FAM179B	1.00e0	9.96e-1	2.72	0.21	0.10	0.33	0.03	0.39
CARD10	1.00e0	9.96e-1	2.72	0.19	0.10	0.06	0.03	0.36
CASC7	1.00e0	9.96e-1	2.72	0.20	0.09	0.34	0.04	0.38
PTPLAD2	1.00e0	9.96e-1	2.72	0.20	0.09	0.35	0.04	0.38
ZNF280C	1.00e0	9.96e-1	2.72	0.18	0.10	0.10	0.04	0.37
ATP9A	1.00e0	9.96e-1	2.72	0.18	0.09	0.24	0.04	0.38
AGTPBP1	1.00e0	9.96e-1	2.72	0.21	0.10	0.30	0.05	0.39
MECOM	1.00e0	9.96e-1	2.72	0.18	0.10	0.10	0.03	0.41
USP6NL	1.00e0	9.96e-1	2.72	0.19	0.09	0.04	0.02	0.38
TMX4	1.00e0	9.96e-1	2.72	0.19	0.10	0.06	0.04	0.40
SPTAN1	1.00e0	9.96e-1	2.72	0.34	0.03	0.37	0.29	0.39
MOK	1.00e0	9.96e-1	2.72	0.22	0.10	0.30	0.04	0.40
LMBRD2	1.00e0	9.96e-1	2.72	0.18	0.10	0.03	0.00	0.39
SMC6	1.00e0	9.96e-1	2.72	0.23	0.10	0.33	0.04	0.40
TUBGCP5	1.00e0	9.96e-1	2.72	0.25	0.07	0.29	0.12	0.38
ZNF317	1.00e0	9.96e-1	2.72	0.22	0.09	0.27	0.05	0.38
SENP1	1.00e0	9.96e-1	2.72	0.18	0.10	0.31	0.03	0.38
ZDHHC21	1.00e0	9.96e-1	2.72	0.21	0.10	0.39	0.05	0.40
HSPA4L	1.00e0	9.96e-1	2.72	0.21	0.11	0.08	0.03	0.40
IQGAP3	1.00e0	9.96e-1	2.72	0.19	0.09	0.25	0.04	0.39
AP4E1	1.00e0	9.96e-1	2.72	0.20	0.09	0.26	0.04	0.39
CCSAP	1.00e0	9.96e-1	2.72	0.22	0.09	0.31	0.07	0.42
KRBA1	1.00e0	9.96e-1	2.72	0.21	0.10	0.27	0.03	0.39
GM2A	1.00e0	9.96e-1	2.72	0.20	0.11	0.29	0.02	0.38
GPATCH1	1.00e0	9.96e-1	2.72	0.18	0.09	0.29	0.02	0.36
JRK	1.00e0	9.96e-1	2.72	0.20	0.10	0.27	0.04	0.40
FLRT3	1.00e0	9.96e-1	2.72	0.23	0.09	0.30	0.07	0.40
ORC2	1.00e0	9.96e-1	2.72	0.22	0.10	0.33	0.07	0.39
RUNX2	1.00e0	9.96e-1	2.72	0.17	0.09	0.04	0.03	0.36
CDAN1	1.00e0	9.96e-1	2.72	0.17	0.10	0.07	0.03	0.37
NEDD9	1.00e0	9.96e-1	2.72	0.18	0.09	0.31	0.05	0.36
CERS6	1.00e0	9.96e-1	2.72	0.18	0.09	0.30	0.02	0.36
PDGFD	1.00e0	9.96e-1	2.72	0.19	0.09	0.19	0.03	0.39
HPS4	1.00e0	9.96e-1	2.72	0.23	0.10	0.32	0.07	0.41
ZNF687	1.00e0	9.96e-1	2.72	0.21	0.09	0.33	0.06	0.37
SLC5A3	1.00e0	9.96e-1	2.72	0.19	0.10	0.03	0.00	0.40
ERMP1	1.00e0	9.96e-1	2.72	0.21	0.09	0.32	0.06	0.39
blank003	1.00e0	9.96e-1	2.72	0.18	0.10	0.04	0.03	0.39
GSE1	1.00e0	9.96e-1	2.72	0.22	0.09	0.32	0.05	0.39
SYTL4	1.00e0	9.96e-1	2.72	0.22	0.08	0.19	0.07	0.38
TAB3	1.00e0	9.96e-1	2.72	0.21	0.10	0.31	0.04	0.39
CEP85	1.00e0	9.96e-1	2.72	0.23	0.08	0.31	0.09	0.38
FAM46C	1.00e0	9.96e-1	2.72	0.22	0.10	0.08	0.04	0.40
PRKAB2	1.00e0	9.96e-1	2.72	0.18	0.10	0.06	0.00	0.36
KLF3	1.00e0	9.96e-1	2.72	0.18	0.09	0.22	0.04	0.41
SLC7A6OS	1.00e0	9.96e-1	2.72	0.18	0.08	0.16	0.03	0.32
TOPORS	1.00e0	9.96e-1	2.72	0.17	0.09	0.02	0.00	0.38
POLR3B	1.00e0	9.96e-1	2.72	0.20	0.10	0.31	0.04	0.39
SLC1A4	1.00e0	9.96e-1	2.72	0.24	0.10	0.37	0.10	0.40
SPAST	1.00e0	9.96e-1	2.72	0.19	0.10	0.07	0.03	0.41
DCLRE1A	1.00e0	9.96e-1	2.72	0.23	0.09	0.31	0.07	0.39
VCPIP1	1.00e0	9.96e-1	2.72	0.23	0.11	0.31	0.04	0.41
CEP170P1	1.00e0	9.96e-1	2.72	0.16	0.09	0.04	0.00	0.35
MUT	1.00e0	9.96e-1	2.72	0.21	0.06	0.23	0.11	0.37
ATP7B	1.00e0	9.96e-1	2.72	0.20	0.10	0.02	0.00	0.39
SLC35B4	1.00e0	9.96e-1	2.72	0.22	0.10	0.34	0.03	0.38
RNMT	1.00e0	9.96e-1	2.72	0.21	0.09	0.33	0.05	0.36
DOCK5	1.00e0	9.96e-1	2.72	0.16	0.09	0.06	0.02	0.32
EFNB2	1.00e0	9.96e-1	2.72	0.18	0.10	0.25	0.02	0.39
CRY2	1.00e0	9.96e-1	2.72	0.21	0.11	0.36	0.03	0.40
FAM178A	1.00e0	9.96e-1	2.72	0.20	0.06	0.19	0.10	0.36
IQCE	1.00e0	9.96e-1	2.72	0.20	0.10	0.32	0.03	0.38
CLN5	1.00e0	9.96e-1	2.72	0.21	0.09	0.32	0.04	0.37
blank010	1.00e0	9.96e-1	2.72	0.18	0.10	0.31	0.04	0.38
URB1	1.00e0	9.96e-1	2.72	0.20	0.09	0.20	0.05	0.36
BRIP1	1.00e0	9.96e-1	2.72	0.21	0.08	0.32	0.06	0.36
CDKL5	1.00e0	9.96e-1	2.72	0.20	0.09	0.28	0.04	0.38
ERCC6L	1.00e0	9.96e-1	2.72	0.23	0.10	0.33	0.06	0.41
EPB41	1.00e0	9.96e-1	2.72	0.22	0.09	0.27	0.07	0.40
TMEM110	1.00e0	9.96e-1	2.72	0.21	0.09	0.34	0.08	0.39
CD109	1.00e0	9.96e-1	2.72	0.17	0.10	0.08	0.02	0.41
LYRM7	1.00e0	9.96e-1	2.72	0.22	0.11	0.33	0.03	0.43
MAP3K5	1.00e0	9.96e-1	2.72	0.19	0.10	0.35	0.02	0.38
ZNF470	1.00e0	9.96e-1	2.72	0.19	0.11	0.35	0.02	0.39
ABCC5	1.00e0	9.96e-1	2.72	0.22	0.09	0.32	0.08	0.39
GTF3C4	1.00e0	9.96e-1	2.72	0.17	0.10	0.04	0.02	0.39
MANEA	1.00e0	9.96e-1	2.72	0.23	0.08	0.31	0.08	0.39
UBXN2B	1.00e0	9.96e-1	2.72	0.21	0.09	0.33	0.06	0.38
COL11A1	1.00e0	9.96e-1	2.72	0.20	0.10	0.07	0.00	0.37
AKAP11	1.00e0	9.96e-1	2.72	0.22	0.09	0.27	0.06	0.40
BICD2	1.00e0	9.96e-1	2.72	0.19	0.11	0.03	0.00	0.38
CACNA1C	1.00e0	9.97e-1	2.72	0.21	0.08	0.21	0.08	0.38
DISP1	1.00e0	9.97e-1	2.72	0.18	0.10	0.02	0.00	0.37
TRPC6	1.00e0	9.97e-1	2.72	0.18	0.10	0.04	0.00	0.40
ITSN2	1.00e0	9.97e-1	2.72	0.24	0.08	0.16	0.10	0.39
C4orf21	1.00e0	9.97e-1	2.72	0.16	0.09	0.29	0.02	0.33
PIK3R3	1.00e0	9.97e-1	2.72	0.20	0.11	0.37	0.03	0.41
GOLGA8A	1.00e0	9.97e-1	2.72	0.17	0.10	0.30	0.03	0.41
ANGEL1	1.00e0	9.97e-1	2.72	0.21	0.09	0.29	0.05	0.39
GMEB2	1.00e0	9.97e-1	2.72	0.18	0.09	0.03	0.00	0.36
IFT122	1.00e0	9.97e-1	2.72	0.19	0.09	0.20	0.05	0.38
MORC2	1.00e0	9.97e-1	2.72	0.19	0.09	0.35	0.08	0.36
C1orf112	1.00e0	9.97e-1	2.72	0.20	0.09	0.33	0.07	0.37
WASH5P	1.00e0	9.97e-1	2.72	0.19	0.11	0.06	0.03	0.40
RP11-18F14.2	1.00e0	9.97e-1	2.72	0.18	0.09	0.27	0.02	0.37
ZBTB6	1.00e0	9.97e-1	2.72	0.21	0.10	0.31	0.03	0.40
ARSD	1.00e0	9.97e-1	2.72	0.19	0.09	0.10	0.05	0.37
MED15	1.00e0	9.97e-1	2.72	0.17	0.10	0.27	0.03	0.36
QRICH2	1.00e0	9.97e-1	2.72	0.18	0.10	0.04	0.00	0.36
POGZ	1.00e0	9.97e-1	2.72	0.21	0.09	0.31	0.08	0.40
blank007	1.00e0	9.97e-1	2.72	0.18	0.11	0.02	0.00	0.35
TCEANC2	1.00e0	9.97e-1	2.72	0.19	0.10	0.33	0.03	0.36
HEXIM1	1.00e0	9.97e-1	2.72	0.21	0.08	0.28	0.06	0.37
PRPF8	1.00e0	9.97e-1	2.72	0.34	0.02	0.34	0.30	0.39
SPICE1	1.00e0	9.97e-1	2.72	0.16	0.08	0.07	0.03	0.34
CDCA2	1.00e0	9.97e-1	2.72	0.18	0.10	0.02	0.00	0.36
WDHD1	1.00e0	9.97e-1	2.72	0.24	0.09	0.33	0.09	0.40
SWT1	1.00e0	9.97e-1	2.72	0.18	0.10	0.03	0.00	0.38
SH3BGRL2	1.00e0	9.97e-1	2.72	0.19	0.11	0.25	0.02	0.39
TRIM62	1.00e0	9.97e-1	2.72	0.17	0.10	0.02	0.00	0.38
SAMD9L	1.00e0	9.97e-1	2.72	0.21	0.11	0.29	0.04	0.42
PLCL2	1.00e0	9.97e-1	2.72	0.17	0.11	0.04	0.00	0.38
TBC1D8B	1.00e0	9.97e-1	2.72	0.17	0.10	0.04	0.00	0.35
WDFY2	1.00e0	9.97e-1	2.72	0.26	0.09	0.33	0.09	0.40
TRAPPC9	1.00e0	9.97e-1	2.72	0.20	0.09	0.36	0.07	0.39
RWDD2A	1.00e0	9.97e-1	2.72	0.20	0.09	0.34	0.05	0.38
TMEM246	1.00e0	9.97e-1	2.72	0.20	0.10	0.34	0.03	0.39
BIRC3	1.00e0	9.97e-1	2.72	0.20	0.09	0.27	0.05	0.38
SMCR8	1.00e0	9.97e-1	2.72	0.20	0.10	0.26	0.04	0.40
AGPS	1.00e0	9.97e-1	2.72	0.19	0.11	0.27	0.02	0.38
WDR66	1.00e0	9.97e-1	2.72	0.21	0.10	0.32	0.06	0.38
SEMA6D	1.00e0	9.97e-1	2.72	0.21	0.09	0.33	0.06	0.36
ULK4	1.00e0	9.97e-1	2.72	0.24	0.09	0.32	0.09	0.40
TTI1	1.00e0	9.97e-1	2.72	0.21	0.10	0.30	0.03	0.38
CNTLN	1.00e0	9.97e-1	2.72	0.24	0.08	0.34	0.09	0.38
FBXO42	1.00e0	9.97e-1	2.72	0.17	0.10	0.05	0.02	0.36
GAN	1.00e0	9.97e-1	2.72	0.17	0.10	0.05	0.00	0.37
VANGL1	1.00e0	9.97e-1	2.72	0.20	0.10	0.32	0.03	0.38
UBN1	1.00e0	9.97e-1	2.72	0.20	0.08	0.16	0.08	0.37
RP11-473I1.10	1.00e0	9.97e-1	2.72	0.20	0.09	0.24	0.03	0.36
ZSCAN22	1.00e0	9.97e-1	2.72	0.19	0.09	0.14	0.03	0.39
POMT2	1.00e0	9.97e-1	2.72	0.18	0.10	0.04	0.00	0.37
SMIM13	1.00e0	9.97e-1	2.72	0.20	0.09	0.30	0.06	0.39
MTF1	1.00e0	9.97e-1	2.72	0.21	0.10	0.35	0.05	0.38
ZBTB24	1.00e0	9.97e-1	2.72	0.21	0.11	0.29	0.03	0.40
ASAP2	1.00e0	9.97e-1	2.72	0.21	0.09	0.28	0.05	0.36
SCAP	1.00e0	9.97e-1	2.72	0.21	0.09	0.34	0.05	0.39
LPHN3	1.00e0	9.97e-1	2.72	0.20	0.10	0.20	0.02	0.37
RP11-566E18.3	1.00e0	9.97e-1	2.72	0.16	0.11	0.03	0.00	0.39
TMED8	1.00e0	9.97e-1	2.72	0.21	0.10	0.08	0.02	0.37
KIAA1147	1.00e0	9.97e-1	2.72	0.20	0.10	0.27	0.02	0.38
KLF13	1.00e0	9.97e-1	2.72	0.27	0.07	0.25	0.13	0.39
OSBPL6	1.00e0	9.97e-1	2.72	0.17	0.09	0.27	0.02	0.35
LINC00641	1.00e0	9.97e-1	2.72	0.18	0.10	0.04	0.02	0.38
PAPD7	1.00e0	9.97e-1	2.72	0.24	0.09	0.33	0.07	0.39
CBX2	1.00e0	9.97e-1	2.72	0.19	0.08	0.23	0.03	0.34
MIB1	1.00e0	9.97e-1	2.72	0.24	0.07	0.20	0.16	0.41
RAP1GAP2	1.00e0	9.97e-1	2.72	0.19	0.10	0.07	0.02	0.40
THADA	1.00e0	9.97e-1	2.72	0.17	0.08	0.24	0.03	0.37
FAM171A1	1.00e0	9.97e-1	2.72	0.18	0.08	0.03	0.00	0.34
SHROOM2	1.00e0	9.97e-1	2.72	0.24	0.06	0.29	0.12	0.36
ATP10A	1.00e0	9.97e-1	2.72	0.21	0.09	0.35	0.06	0.37
ZNF33B	1.00e0	9.97e-1	2.72	0.20	0.09	0.27	0.04	0.38
USP34	1.00e0	9.97e-1	2.72	0.23	0.08	0.34	0.07	0.37
CASC5	1.00e0	9.97e-1	2.72	0.18	0.09	0.29	0.03	0.33
UST	1.00e0	9.97e-1	2.72	0.18	0.08	0.28	0.03	0.34
FAM214A	1.00e0	9.97e-1	2.72	0.20	0.09	0.31	0.07	0.39
FKBP5	1.00e0	9.97e-1	2.72	0.18	0.09	0.26	0.02	0.35
SIRT1	1.00e0	9.97e-1	2.72	0.19	0.09	0.28	0.05	0.38
NCR3LG1	1.00e0	9.97e-1	2.72	0.18	0.10	0.09	0.02	0.38
ABHD13	1.00e0	9.97e-1	2.72	0.20	0.08	0.27	0.07	0.35
PTGFR	1.00e0	9.97e-1	2.72	0.19	0.10	0.05	0.03	0.36
ZKSCAN2	1.00e0	9.97e-1	2.72	0.20	0.10	0.32	0.03	0.38
LPCAT2	1.00e0	9.97e-1	2.72	0.18	0.10	0.05	0.03	0.37
RAPGEF6	1.00e0	9.97e-1	2.72	0.22	0.09	0.33	0.07	0.37
UBN2	1.00e0	9.97e-1	2.72	0.21	0.10	0.30	0.05	0.41
ARL10	1.00e0	9.97e-1	2.72	0.18	0.10	0.03	0.00	0.34
LRRK1	1.00e0	9.97e-1	2.72	0.18	0.10	0.02	0.00	0.39
FAM120C	1.00e0	9.97e-1	2.72	0.18	0.09	0.29	0.05	0.35
AP1G2	1.00e0	9.97e-1	2.72	0.20	0.09	0.30	0.04	0.37
GTF3C2	1.00e0	9.97e-1	2.72	0.19	0.10	0.19	0.00	0.41
ZNF230	1.00e0	9.97e-1	2.72	0.19	0.09	0.29	0.05	0.34
AVL9	1.00e0	9.97e-1	2.72	0.19	0.10	0.06	0.03	0.38
RELN	1.00e0	9.97e-1	2.72	0.19	0.12	0.02	0.00	0.41
ATAD2B	1.00e0	9.97e-1	2.72	0.23	0.08	0.27	0.10	0.38
DOCK11	1.00e0	9.97e-1	2.72	0.18	0.08	0.26	0.03	0.35
ZFP28	1.00e0	9.97e-1	2.72	0.15	0.09	0.03	0.02	0.33
KIF7	1.00e0	9.97e-1	2.72	0.19	0.09	0.27	0.04	0.34
DIO2	1.00e0	9.97e-1	2.72	0.19	0.09	0.29	0.05	0.39
TNFAIP3	1.00e0	9.97e-1	2.72	0.23	0.09	0.31	0.09	0.42
CAND2	1.00e0	9.97e-1	2.72	0.20	0.10	0.30	0.04	0.38
ASPM	1.00e0	9.97e-1	2.72	0.17	0.10	0.04	0.00	0.35
HSPA12A	1.00e0	9.97e-1	2.72	0.19	0.11	0.28	0.02	0.38
AKAP8	1.00e0	9.97e-1	2.72	0.22	0.09	0.32	0.06	0.38
SENP5	1.00e0	9.97e-1	2.72	0.17	0.10	0.03	0.00	0.36
PIK3R1	1.00e0	9.97e-1	2.72	0.19	0.10	0.05	0.00	0.37
ZNF160	1.00e0	9.97e-1	2.72	0.21	0.10	0.05	0.03	0.40
PHLPP1	1.00e0	9.97e-1	2.72	0.20	0.09	0.33	0.05	0.39
blank001	1.00e0	9.97e-1	2.72	0.17	0.09	0.03	0.00	0.34
SEC24B	1.00e0	9.97e-1	2.72	0.19	0.09	0.05	0.04	0.36
AFAP1L1	1.00e0	9.97e-1	2.72	0.20	0.08	0.21	0.06	0.38
FOXK2	1.00e0	9.97e-1	2.72	0.20	0.09	0.27	0.06	0.35
GPR107	1.00e0	9.97e-1	2.72	0.19	0.10	0.05	0.03	0.41
USP38	1.00e0	9.97e-1	2.72	0.22	0.09	0.33	0.05	0.38
ERN1	1.00e0	9.97e-1	2.72	0.17	0.10	0.08	0.02	0.39
FAM126B	1.00e0	9.97e-1	2.72	0.19	0.10	0.27	0.03	0.39
SETD2	1.00e0	9.97e-1	2.72	0.20	0.08	0.27	0.07	0.35
NOL6	1.00e0	9.97e-1	2.72	0.19	0.09	0.35	0.05	0.36
MEX3A	1.00e0	9.97e-1	2.72	0.18	0.09	0.22	0.04	0.38
ARID2	1.00e0	9.97e-1	2.72	0.21	0.08	0.26	0.05	0.36
ARL4C	1.00e0	9.97e-1	2.72	0.20	0.08	0.10	0.07	0.37
SMO	1.00e0	9.97e-1	2.72	0.23	0.08	0.29	0.07	0.37
DARS2	1.00e0	9.97e-1	2.72	0.21	0.11	0.03	0.00	0.39
RNASEL	1.00e0	9.97e-1	2.72	0.21	0.09	0.31	0.06	0.38
KLHL15	1.00e0	9.97e-1	2.72	0.20	0.10	0.28	0.05	0.38
EVC2	1.00e0	9.97e-1	2.72	0.22	0.09	0.33	0.07	0.39
CEP128	1.00e0	9.97e-1	2.72	0.22	0.09	0.35	0.07	0.38
SALL2	1.00e0	9.97e-1	2.72	0.20	0.08	0.30	0.07	0.37
HCFC1	1.00e0	9.97e-1	2.72	0.23	0.08	0.34	0.13	0.40
RALGAPA2	1.00e0	9.97e-1	2.72	0.19	0.10	0.32	0.03	0.35
HIP1R	1.00e0	9.97e-1	2.72	0.18	0.08	0.28	0.05	0.34
STK10	1.00e0	9.97e-1	2.72	0.19	0.10	0.04	0.00	0.37
LRCH2	1.00e0	9.97e-1	2.72	0.19	0.11	0.04	0.02	0.42
ATM	1.00e0	9.97e-1	2.72	0.22	0.09	0.32	0.06	0.38
MYCBP2	1.00e0	9.97e-1	2.72	0.19	0.08	0.28	0.04	0.34
CNTRL	1.00e0	9.97e-1	2.72	0.19	0.10	0.05	0.02	0.35
CDKN2B	1.00e0	9.97e-1	2.72	0.25	0.08	0.35	0.12	0.40
CHST3	1.00e0	9.97e-1	2.72	0.19	0.10	0.37	0.03	0.39
RP11-121C2.2	1.00e0	9.97e-1	2.72	0.24	0.09	0.14	0.10	0.39
IKZF5	1.00e0	9.97e-1	2.72	0.21	0.09	0.31	0.05	0.36
ZNF280D	1.00e0	9.97e-1	2.72	0.18	0.10	0.03	0.00	0.37
FOXJ2	1.00e0	9.97e-1	2.72	0.19	0.11	0.07	0.00	0.40
EXOC2	1.00e0	9.97e-1	2.72	0.18	0.08	0.24	0.04	0.36
RP11-496N12.9	1.00e0	9.97e-1	2.72	0.20	0.09	0.20	0.03	0.37
SMARCC2	1.00e0	9.97e-1	2.72	0.24	0.03	0.25	0.20	0.30
ANKRD26	1.00e0	9.97e-1	2.72	0.20	0.09	0.30	0.04	0.37
AMOTL1	1.00e0	9.97e-1	2.72	0.34	0.02	0.35	0.30	0.40
KIF16B	1.00e0	9.97e-1	2.72	0.24	0.06	0.28	0.14	0.35
ZNF654	1.00e0	9.97e-1	2.72	0.20	0.08	0.11	0.07	0.36
GPD1L	1.00e0	9.97e-1	2.72	0.17	0.10	0.05	0.00	0.37
NUDT16	1.00e0	9.97e-1	2.72	0.18	0.10	0.02	0.00	0.39
LRIF1	1.00e0	9.97e-1	2.72	0.21	0.09	0.33	0.05	0.38
ZNF697	1.00e0	9.97e-1	2.72	0.17	0.09	0.07	0.00	0.35
PTPRU	1.00e0	9.97e-1	2.72	0.22	0.10	0.35	0.05	0.40
ZNF142	1.00e0	9.97e-1	2.72	0.22	0.08	0.30	0.11	0.38
ENTPD7	1.00e0	9.97e-1	2.72	0.20	0.10	0.25	0.05	0.39
SLC9A5	1.00e0	9.97e-1	2.72	0.19	0.10	0.27	0.03	0.37
KIF15	1.00e0	9.97e-1	2.72	0.21	0.08	0.30	0.07	0.37
YOD1	1.00e0	9.97e-1	2.72	0.18	0.10	0.03	0.00	0.39
HIP1	1.00e0	9.97e-1	2.72	0.17	0.07	0.14	0.06	0.34
MRAS	1.00e0	9.97e-1	2.72	0.25	0.06	0.30	0.14	0.36
MKI67	1.00e0	9.97e-1	2.72	0.16	0.08	0.03	0.00	0.32
RBM19	1.00e0	9.97e-1	2.72	0.19	0.08	0.20	0.06	0.36
C5orf51	1.00e0	9.97e-1	2.72	0.18	0.10	0.06	0.00	0.35
RASGRF2	1.00e0	9.97e-1	2.72	0.22	0.08	0.30	0.07	0.36
VPS13D	1.00e0	9.97e-1	2.72	0.20	0.10	0.27	0.03	0.40
ZNF45	1.00e0	9.97e-1	2.72	0.20	0.09	0.28	0.03	0.34
TAF2	1.00e0	9.97e-1	2.72	0.21	0.09	0.18	0.09	0.42
SNX30	1.00e0	9.97e-1	2.72	0.20	0.10	0.30	0.03	0.37
ALPK2	1.00e0	9.97e-1	2.72	0.19	0.09	0.30	0.07	0.36
SOX11	1.00e0	9.97e-1	2.72	0.22	0.09	0.32	0.06	0.39
ZNF813	1.00e0	9.97e-1	2.72	0.19	0.09	0.03	0.00	0.36
VPS13A	1.00e0	9.97e-1	2.72	0.23	0.08	0.29	0.07	0.38
SNPH	1.00e0	9.97e-1	2.72	0.19	0.10	0.04	0.02	0.36
FTSJD2	1.00e0	9.97e-1	2.72	0.17	0.10	0.26	0.02	0.36
notarget004	1.00e0	9.97e-1	2.72	0.20	0.10	0.29	0.03	0.38
FBXO30	1.00e0	9.97e-1	2.72	0.19	0.09	0.29	0.02	0.38
FAM83G	1.00e0	9.97e-1	2.72	0.22	0.09	0.25	0.05	0.37
KDM1B	1.00e0	9.97e-1	2.72	0.23	0.08	0.34	0.10	0.39
ARHGEF6	1.00e0	9.97e-1	2.72	0.21	0.10	0.28	0.02	0.38
