cell	feat	expr_map	expr_ci_lower	expr_ci_upper	expr_naive
47	BRCA2	1	0	4	1
47	QSER1	1	0	4	1
47	SLC38A1	2	0	5	2
47	KIDINS220	6	3	10	6
47	FRY	4	2	8	5
47	AMOTL1	3	1	7	4
47	DSEL	2	0	5	2
47	CASC5	0	0	2	0
47	CBL	0	0	2	0
47	PAPPA	8	5	13	9
47	HELZ2	1	0	4	1
47	ABCA2	3	1	7	4
47	CREBBP	13	10	19	14
47	SPTBN1	38	32	46	39
47	PTPN14	4	2	8	5
47	NR4A1	12	8	17	12
47	MALAT1	7	4	11	7
47	FZD4	0	0	2	0
47	NUP98	4	2	8	5
47	PHIP	0	0	2	0
47	ROCK2	24	19	31	25
47	DYNC1H1	24	19	31	25
47	ITGA2	0	0	2	0
47	AFF4	3	1	7	4
47	PRKDC	21	16	27	21
47	PRPF8	69	60	79	70
47	ATP11A	4	2	8	5
47	TLN1	113	102	126	114
47	HIVEP2	1	0	4	1
47	IGF2R	17	13	23	17
46	USP34	1	0	4	1
46	LYST	0	0	2	0
46	PRRC2B	17	13	23	17
46	IQGAP1	19	15	26	20
46	FLNB	9	6	14	10
46	SSH1	12	8	17	12
46	SRRM2	37	30	45	37
46	NKTR	6	3	10	6
46	NR4A1	9	6	14	10
46	DOCK7	1	0	4	1
46	SMARCA5	29	23	36	30
46	KIAA2018	7	4	11	7
46	ANKRD52	8	5	13	9
46	AGPS	2	0	5	2
46	SPTBN1	38	32	46	39
46	VPS13D	1	0	4	1
46	SCUBE3	4	2	8	5
46	REV3L	1	0	4	1
46	FLNA	80	70	91	81
46	H6PD	13	9	19	14
46	AFF4	3	1	7	4
46	MAN1A2	0	0	2	0
46	MKI67	2	0	5	2
46	NRIP1	2	1	5	2
46	THBS1	1133	1099	1170	1140
46	ZFC3H1	8	5	13	9
46	DYNC1H1	17	13	23	17
46	FBN2	27	21	34	27
46	SON	29	23	37	30
46	FAM208B	6	3	10	6
46	SIPA1L3	3	1	7	4
46	QSER1	2	0	5	2
46	DIP2B	2	1	5	2
46	KIDINS220	10	6	14	10
46	ALPK2	18	14	24	19
46	DOPEY1	0	0	2	0
46	DIP2C	2	1	5	3
46	NUP98	2	0	5	2
46	DNAJC13	2	0	5	2
46	TMOD2	0	0	2	0
46	IGF2R	50	43	59	51
46	PRKDC	5	2	8	5
46	AFAP1	1	0	4	1
46	GPR107	14	11	20	15
46	HELZ2	2	0	5	2
46	HIVEP2	0	0	2	0
46	TEAD1	20	16	27	21
46	ROCK2	18	13	24	19
46	MALAT1	44	37	53	45
46	POLQ	0	0	2	0
46	GTF3C4	1	0	4	1
46	RNF169	0	0	2	0
46	ARL10	0	0	2	0
46	PIK3CA	2	0	5	2
46	PTPN14	2	0	5	2
46	PCNX	2	1	5	2
46	CHD8	3	1	7	4
46	DSEL	3	1	7	4
46	ATP11A	1	0	4	1
46	ITGA2	0	0	2	0
46	TLN1	45	38	54	46
46	PRKCA	12	8	17	12
46	FYCO1	2	0	5	2
46	SPTAN1	67	58	77	67
46	VCAN	24	19	31	25
46	MED14	1	0	4	1
46	USP9X	2	0	5	2
46	NF1	3	1	7	4
46	TNRC6A	6	3	10	6
46	KIAA1147	0	0	2	0
46	MYH10	3	2	7	4
46	PHIP	0	0	2	0
46	RAB3B	0	0	2	0
46	AKAP11	0	0	2	0
46	SLC38A1	12	8	17	12
46	CACNA1A	0	0	2	0
46	PLXNA1	7	4	11	7
46	FASN	0	0	2	0
46	CKAP5	11	7	16	11
46	PRPF8	45	38	54	46
46	COL7A1	5	2	8	5
46	CENPF	0	0	2	0
46	VPS13A	2	0	5	2
46	NOTCH2	18	14	24	19
46	LRP1	70	61	80	71
46	TNC	323	304	344	327
46	ABCA2	4	2	8	5
46	FLNC	7	4	11	7
46	SLC7A11	13	9	19	14
46	UBR2	1	0	4	1
46	NUMA1	13	10	19	14
46	KIAA1199	17	12	23	17
46	FBN1	37	30	45	37
46	C14orf132	10	6	14	10
46	KIAA1462	12	8	17	12
46	BRCA2	0	0	2	0
46	FRY	1	0	4	1
46	ASCC3	1	0	4	1
46	LMTK2	1	0	4	1
46	FOSB	13	9	19	14
46	DIEXF	0	0	2	0
46	PDS5A	6	3	10	6
46	ZKSCAN2	0	0	2	0
46	SVEP1	13	9	19	14
46	STARD9	2	0	5	2
46	FZD4	0	0	2	0
46	COL5A1	98	87	110	99
46	CREBBP	4	2	8	5
46	TPR	3	1	7	4
46	PAPPA	71	62	82	72
46	CASC5	0	0	2	0
46	ALMS1	0	0	2	0
46	CBL	0	0	2	0
46	EGFR	6	3	10	6
46	UBR5	18	14	24	19
46	HERC2	3	1	7	4
46	LUZP1	8	5	13	9
46	AMOTL1	3	1	7	4
46	PIEZO1	21	16	27	21
46	CEP250	1	0	4	1
46	HEATR5B	0	0	2	0
46	CBX5	11	7	16	11
46	THSD4	6	3	10	6
46	USP24	0	0	2	0
46	ZC3H13	3	1	7	4
46	C17orf51	1	0	4	1
46	GTF3C1	3	1	7	4
46	HIVEP1	1	0	4	1
46	SLC5A3	1	0	4	1
46	KPNA4	1	0	4	1
12	CBX5	35	29	43	36
12	NOTCH2	10	6	14	10
12	TMOD2	0	0	2	0
12	PRKCA	9	6	14	10
12	DOPEY1	2	0	5	3
12	SPTBN1	39	33	47	40
12	VPS13D	2	0	5	2
12	AMOTL1	4	2	8	5
12	DNAJC13	3	1	7	4
12	PRPF8	67	58	77	67
12	DIP2B	1	0	4	1
12	TLN1	48	41	57	49
12	AFAP1	2	0	5	2
12	DIP2C	6	3	10	6
12	KPNA4	2	0	5	2
12	IGF2R	43	36	51	44
12	SCUBE3	17	13	23	18
12	FRY	0	0	2	0
12	FAM208B	1	0	4	1
12	HIVEP1	0	0	2	0
12	UBR2	0	0	2	0
12	SIPA1L3	7	4	11	7
12	COL7A1	12	8	17	12
12	NF1	1	0	4	1
12	PHIP	0	0	2	0
12	ALMS1	0	0	2	0
12	ZKSCAN2	1	0	4	1
12	SRRM2	67	59	78	69
12	KIAA1147	0	0	2	0
12	C14orf132	11	7	16	11
12	HIVEP2	3	1	7	4
12	LUZP1	9	6	14	10
12	SSH1	31	25	38	31
12	USP34	1	0	4	1
12	TEAD1	33	27	41	34
12	ARL10	0	0	2	0
12	KIAA1199	11	7	16	11
12	THSD4	6	3	10	6
12	PCNX	3	2	7	4
12	C17orf51	2	1	5	2
12	MALAT1	89	79	101	91
12	ZFC3H1	3	1	7	4
12	BRCA2	1	0	4	1
12	EGFR	4	2	8	5
12	FLNC	47	39	55	47
12	RNF169	0	0	2	0
12	FZD4	6	3	10	6
12	DOCK7	3	1	7	4
12	CEP250	3	1	7	4
12	NRIP1	6	3	10	6
12	PLXNA1	8	5	13	9
12	MED14	2	0	5	2
12	HEATR5B	0	0	2	0
12	FASN	4	2	8	5
12	DYNC1H1	20	15	26	20
12	SLC38A1	12	8	17	12
12	QSER1	0	0	2	0
12	CENPF	3	1	7	4
12	FYCO1	6	4	10	6
12	NUP98	3	1	7	4
12	SON	32	26	39	32
12	FBN1	51	44	61	52
12	AGPS	1	0	4	1
12	CBL	0	0	2	0
12	MAN1A2	1	0	4	1
12	ASCC3	6	3	10	6
12	IQGAP1	48	40	56	49
12	CACNA1A	0	0	2	0
12	NR4A1	5	2	8	5
12	FOSB	8	5	13	9
12	GPR107	28	22	35	29
12	ZC3H13	1	0	4	1
12	VPS13A	1	0	4	1
12	SVEP1	12	8	17	12
12	LMTK2	1	0	4	1
12	PDS5A	1	0	4	1
12	SMARCA5	16	11	21	16
12	PTPN14	10	7	14	10
12	H6PD	4	2	8	5
12	SLC7A11	24	19	31	25
12	FLNA	343	324	365	345
12	TNC	187	172	203	188
12	MYH10	42	35	50	42
12	PIK3CA	0	0	2	0
12	HELZ2	0	0	2	0
12	REV3L	1	0	4	1
12	KIDINS220	7	4	11	7
12	CASC5	1	0	4	1
12	ALPK2	6	3	10	6
12	KIAA1462	13	9	19	14
12	POLQ	0	0	2	0
12	AKAP11	0	0	2	0
12	THBS1	940	908	974	946
12	LRP1	72	63	83	74
12	ROCK2	12	8	17	12
12	PAPPA	32	26	39	32
12	SLC5A3	0	0	2	0
12	DSEL	1	0	4	1
12	COL5A1	81	72	92	82
12	FLNB	10	6	14	10
12	PIEZO1	6	3	10	6
12	ATP11A	5	2	8	5
12	NKTR	4	2	8	5
12	CREBBP	9	6	14	10
12	STARD9	0	0	2	0
12	GTF3C1	19	15	26	20
12	LYST	0	0	2	0
12	VCAN	39	32	47	40
12	TNRC6A	2	0	5	2
12	USP24	3	1	7	4
12	MKI67	2	0	5	2
12	PRKDC	6	3	10	6
12	PRRC2B	29	24	37	30
12	ITGA2	12	8	17	12
12	CHD8	3	1	7	4
12	ABCA2	1	0	4	1
12	ANKRD52	11	7	16	11
12	UBR5	23	18	30	24
12	FBN2	130	117	143	131
12	SPTAN1	35	29	42	35
12	TPR	9	6	14	10
12	AFF4	1	0	4	1
12	NUMA1	12	8	17	12
12	RAB3B	2	0	5	2
12	DIEXF	2	0	5	2
12	CKAP5	6	3	10	6
12	USP9X	3	1	7	4
12	GTF3C4	3	1	7	4
12	HERC2	2	0	5	2
12	KIAA2018	6	3	10	6
14	SIPA1L3	1	0	4	1
14	GTF3C4	2	0	5	2
14	BRCA2	1	0	4	1
14	ABCA2	0	0	2	0
14	ARL10	0	0	2	0
14	SCUBE3	12	8	17	13
14	ZFC3H1	0	0	2	0
14	PIK3CA	1	0	4	1
14	FRY	4	2	8	5
14	SVEP1	20	16	27	21
14	TNC	107	96	120	109
14	QSER1	0	0	2	0
14	MAN1A2	0	0	2	0
14	NF1	2	0	5	2
14	ALMS1	0	0	2	0
14	ZKSCAN2	0	0	2	0
14	ANKRD52	20	15	26	20
14	PRKDC	4	2	8	5
14	USP34	3	1	7	4
14	SRRM2	57	49	66	57
14	PDS5A	2	0	5	2
14	CREBBP	12	9	17	12
14	KIAA1199	13	9	19	14
14	HIVEP1	7	4	11	7
14	COL7A1	9	6	14	10
14	DOCK7	8	5	13	9
14	LYST	1	0	4	1
14	RAB3B	2	0	5	2
14	ITGA2	0	0	2	0
14	NRIP1	3	1	7	4
14	STARD9	1	0	4	1
14	CASC5	0	0	2	0
14	PAPPA	12	8	17	12
14	USP24	0	0	2	0
14	FYCO1	10	7	14	10
14	MKI67	1	0	4	1
14	KPNA4	2	0	5	2
14	ASCC3	1	0	4	1
14	NOTCH2	19	15	26	20
14	FBN1	60	52	70	61
14	ZC3H13	6	3	10	6
14	MYH10	33	27	41	34
14	HERC2	2	0	5	2
14	FLNC	57	49	66	57
14	LMTK2	1	0	4	1
14	SLC5A3	0	0	2	0
14	DSEL	4	2	8	5
14	TEAD1	33	27	41	34
14	POLQ	0	0	2	0
14	PCNX	3	1	7	4
14	FAM208B	1	0	4	1
14	NUMA1	11	7	16	11
14	KIAA2018	3	1	7	4
14	DIP2C	2	1	5	3
14	PTPN14	2	1	5	2
14	GTF3C1	16	12	22	16
14	SPTAN1	82	73	93	82
14	SPTBN1	33	27	41	34
14	SMARCA5	22	17	28	22
14	TMOD2	0	0	2	0
14	MALAT1	18	13	24	19
14	FOSB	4	2	8	5
14	SSH1	9	6	14	10
14	VCAN	28	22	35	29
14	VPS13A	3	1	7	4
14	AKAP11	1	0	4	1
14	DNAJC13	7	4	11	7
14	MED14	6	3	10	6
14	C17orf51	3	1	7	4
14	HIVEP2	2	1	5	3
14	UBR2	1	0	4	1
14	THBS1	1344	1307	1383	1348
14	TLN1	165	151	180	166
14	TPR	17	13	23	17
14	LUZP1	8	5	13	9
14	DOPEY1	0	0	2	0
14	HELZ2	0	0	2	0
14	TNRC6A	7	4	11	7
14	FLNB	5	2	8	5
14	DYNC1H1	37	31	45	37
14	CENPF	0	0	2	0
14	IGF2R	33	27	41	34
14	CBL	2	0	5	2
14	UBR5	27	21	34	27
14	KIDINS220	16	12	21	16
14	FBN2	153	140	168	155
14	SLC7A11	3	1	7	4
14	SLC38A1	1	0	4	1
14	NKTR	5	2	8	5
14	KIAA1147	0	0	2	0
14	PRPF8	104	93	116	105
14	DIP2B	0	0	2	0
14	AMOTL1	11	7	16	11
14	PLXNA1	8	5	13	9
14	CBX5	14	10	20	15
14	NR4A1	16	11	21	16
14	COL5A1	134	122	148	135
14	AFAP1	11	7	16	11
14	CKAP5	12	8	17	12
14	FASN	6	3	10	6
14	IQGAP1	50	43	59	51
14	EGFR	1	0	4	1
14	ALPK2	2	1	5	2
14	REV3L	2	0	5	2
14	LRP1	64	56	74	65
14	SON	24	19	31	25
14	PIEZO1	11	7	16	11
14	ATP11A	2	1	5	2
14	FLNA	551	526	577	553
14	C14orf132	7	4	11	7
14	USP9X	8	5	13	9
14	CEP250	1	0	4	1
14	FZD4	0	0	2	0
14	HEATR5B	1	0	4	1
14	AGPS	1	0	4	1
14	RNF169	2	0	5	2
14	DIEXF	0	0	2	0
14	ROCK2	23	18	30	24
14	GPR107	22	17	28	22
14	PHIP	0	0	2	0
14	PRRC2B	21	16	27	21
14	PRKCA	8	5	13	9
14	CACNA1A	0	0	2	0
14	CHD8	2	0	5	2
14	KIAA1462	17	13	23	17
14	H6PD	1	0	4	1
14	NUP98	0	0	2	0
14	VPS13D	1	0	4	1
14	THSD4	22	17	28	22
14	AFF4	3	1	7	4
3	RNF169	1	0	4	1
3	KIAA1462	14	11	20	15
3	FLNC	22	17	28	22
3	DSEL	1	0	4	1
3	MED14	0	0	2	0
3	ANKRD52	12	8	17	12
3	IGF2R	71	62	82	72
3	MAN1A2	1	0	4	1
3	KPNA4	1	0	4	1
3	SLC7A11	13	9	19	14
3	C17orf51	0	0	2	0
3	FASN	1	0	4	1
3	DNAJC13	8	5	13	9
3	HERC2	0	0	2	0
3	USP24	0	0	2	0
3	GTF3C4	3	1	7	4
3	ATP11A	1	0	4	1
3	ZFC3H1	2	0	5	2
3	DIP2C	1	0	4	1
3	PRKDC	2	0	5	2
3	PIEZO1	9	6	14	10
3	AMOTL1	11	7	16	11
3	DOPEY1	0	0	2	0
3	ALMS1	0	0	2	0
3	NUMA1	22	17	29	22
3	FYCO1	11	8	16	11
3	FLNA	226	210	243	227
3	REV3L	5	2	8	5
3	CKAP5	8	5	13	9
3	AGPS	0	0	2	0
3	PRPF8	39	33	48	40
3	PLXNA1	6	3	10	6
3	NR4A1	8	5	13	9
3	LMTK2	2	0	5	2
3	AFAP1	5	2	8	5
3	PHIP	0	0	2	0
3	HEATR5B	0	0	2	0
3	KIAA1199	28	22	35	29
3	HELZ2	0	0	2	0
3	CENPF	1	0	4	1
3	FOSB	8	5	13	9
3	VPS13A	2	0	5	2
3	FRY	1	0	4	1
3	THBS1	1079	1046	1116	1086
3	DIEXF	0	0	2	0
3	MKI67	1	0	4	1
3	SVEP1	50	43	59	51
3	ARL10	0	0	2	0
3	PRKCA	23	19	30	24
3	TNC	6	3	10	6
3	ALPK2	10	7	14	10
3	DOCK7	6	3	10	6
3	CBL	0	0	2	0
3	SRRM2	32	26	39	32
3	TPR	0	0	2	0
3	ZC3H13	1	0	4	1
3	RAB3B	0	0	2	0
3	PAPPA	54	46	63	55
3	ROCK2	18	13	24	19
3	CHD8	4	2	8	5
3	KIDINS220	11	8	16	11
3	DYNC1H1	24	19	31	25
3	FLNB	3	1	7	4
3	NOTCH2	5	2	8	5
3	GTF3C1	18	14	24	19
3	PTPN14	1	0	4	1
3	ASCC3	3	1	7	4
3	SLC5A3	0	0	2	0
3	C14orf132	6	3	10	6
3	NF1	2	0	5	2
3	LUZP1	3	1	7	4
3	SMARCA5	11	7	16	11
3	VCAN	32	26	39	32
3	KIAA2018	1	0	4	1
3	FBN2	151	138	166	152
3	USP34	2	0	5	2
3	H6PD	8	5	13	9
3	TEAD1	24	19	31	25
3	SON	14	10	20	15
3	SCUBE3	26	21	33	26
3	STARD9	0	0	2	0
3	AFF4	2	0	5	2
3	PCNX	8	5	13	9
3	COL5A1	86	76	97	86
3	POLQ	0	0	2	0
3	HIVEP2	0	0	2	0
3	UBR5	18	14	24	19
3	ITGA2	5	2	8	5
3	USP9X	7	4	11	7
3	GPR107	22	17	28	22
3	UBR2	2	0	5	2
3	CASC5	0	0	2	0
3	COL7A1	1	0	4	1
3	AKAP11	0	0	2	0
3	SSH1	11	7	16	11
3	VPS13D	0	0	2	0
3	LYST	0	0	2	0
3	NUP98	3	1	7	4
3	TNRC6A	1	0	4	1
3	CEP250	1	0	4	1
3	MALAT1	2	0	5	2
3	CBX5	11	7	16	11
3	FZD4	0	0	2	0
3	LRP1	101	90	113	102
3	TLN1	68	59	78	69
3	FAM208B	0	0	2	0
3	SLC38A1	12	8	17	12
3	NKTR	2	0	5	2
3	IQGAP1	23	18	30	24
3	THSD4	8	5	13	9
3	SPTAN1	48	41	57	49
3	SIPA1L3	6	3	10	6
3	MYH10	6	3	10	6
3	NRIP1	6	3	10	6
3	PIK3CA	1	0	4	1
3	ABCA2	1	0	4	1
3	SPTBN1	27	21	34	27
3	BRCA2	0	0	2	0
3	EGFR	3	1	7	4
3	CACNA1A	0	0	2	0
3	TMOD2	0	0	2	0
3	QSER1	0	0	2	0
3	ZKSCAN2	0	0	2	0
3	PDS5A	2	0	5	2
3	PRRC2B	32	26	39	32
3	KIAA1147	0	0	2	0
3	DIP2B	0	0	2	0
3	FBN1	62	53	72	62
3	CREBBP	10	7	14	10
3	HIVEP1	0	0	2	0
10	TLN1	116	105	129	117
10	DYNC1H1	31	25	38	31
10	HELZ2	3	1	7	4
10	DSEL	1	0	4	1
10	POLQ	0	0	2	0
10	AFF4	2	0	5	2
10	ARL10	0	0	2	0
10	HIVEP1	7	4	11	7
10	LRP1	24	19	31	25
10	IGF2R	24	19	31	25
10	SLC5A3	1	0	4	1
10	DIP2B	2	1	5	2
10	ROCK2	24	19	31	25
10	SSH1	10	6	14	10
10	HIVEP2	0	0	2	0
10	BRCA2	2	0	5	2
10	MED14	1	0	4	1
10	ASCC3	2	1	5	2
10	AKAP11	2	0	5	2
10	FYCO1	13	10	19	14
10	KIAA1199	180	166	196	182
10	NRIP1	8	5	13	9
10	THBS1	1377	1340	1417	1381
10	MALAT1	14	10	20	15
10	FBN2	74	64	84	75
10	MKI67	2	0	5	2
10	PRRC2B	17	13	23	17
10	GTF3C4	6	3	10	6
10	PAPPA	9	6	14	10
10	C14orf132	0	0	2	0
10	GTF3C1	31	25	38	31
10	TNRC6A	2	1	5	2
10	CEP250	1	0	4	1
10	ZKSCAN2	0	0	2	0
10	H6PD	1	0	4	1
10	QSER1	1	0	4	1
10	FLNC	59	51	69	60
10	COL7A1	2	0	5	2
10	NKTR	1	0	4	1
10	NUP98	1	0	4	1
10	SLC38A1	9	6	14	10
10	RAB3B	0	0	2	0
10	SRRM2	32	26	39	32
10	TNC	43	36	51	44
10	DOPEY1	3	1	7	4
10	KIDINS220	11	7	16	11
10	DOCK7	0	0	2	0
10	TMOD2	0	0	2	0
10	CENPF	2	0	5	2
10	AMOTL1	3	1	7	4
10	LYST	0	0	2	0
10	AGPS	3	1	7	4
10	VPS13D	2	0	5	2
10	PCNX	3	1	7	4
10	SLC7A11	1	0	4	1
10	SON	28	22	35	29
10	NOTCH2	13	9	19	14
10	PRKCA	7	4	11	7
10	THSD4	18	14	24	19
10	CBX5	9	6	14	10
10	SCUBE3	1	0	4	1
10	ZC3H13	2	1	5	2
10	NR4A1	7	4	11	7
10	ALMS1	3	1	7	4
10	VCAN	13	9	19	14
10	ATP11A	1	0	4	1
10	SPTBN1	28	23	35	29
10	KIAA1462	12	9	17	12
10	MYH10	37	31	45	37
10	ZFC3H1	1	0	4	1
10	SIPA1L3	3	2	7	4
10	CREBBP	12	9	17	12
10	ALPK2	8	5	13	9
10	KIAA2018	0	0	2	0
10	CASC5	0	0	2	0
10	PRPF8	82	72	93	82
10	COL5A1	29	24	37	30
10	NUMA1	3	1	7	4
10	DIP2C	1	0	4	1
10	USP34	7	4	11	7
10	CACNA1A	6	3	10	6
10	TPR	8	5	13	9
10	FRY	6	3	10	6
10	PDS5A	3	1	7	4
10	GPR107	12	8	17	12
10	CKAP5	7	4	11	7
10	PTPN14	16	11	21	16
10	AFAP1	2	0	5	2
10	EGFR	3	1	7	4
10	TEAD1	18	13	24	19
10	DNAJC13	7	4	11	7
10	PIEZO1	13	9	19	14
10	ABCA2	1	0	4	1
10	FLNA	218	202	235	218
10	CBL	1	0	4	1
10	STARD9	1	0	4	1
10	MAN1A2	0	0	2	0
10	USP24	1	0	4	1
10	FAM208B	3	1	7	4
10	UBR5	23	18	30	24
10	USP9X	4	2	8	5
10	ITGA2	3	1	7	4
10	UBR2	2	0	5	2
10	DIEXF	3	1	7	4
10	SPTAN1	52	45	61	52
10	HERC2	2	0	5	2
10	SVEP1	8	5	13	9
10	FASN	6	3	10	6
10	C17orf51	1	0	4	1
10	IQGAP1	59	51	69	60
10	VPS13A	2	0	5	2
10	KPNA4	0	0	2	0
10	HEATR5B	0	0	2	0
10	PLXNA1	1	0	4	1
10	NF1	2	0	5	2
10	SMARCA5	23	18	30	24
10	KIAA1147	0	0	2	0
10	LUZP1	3	1	7	4
10	CHD8	6	3	10	6
10	REV3L	5	2	8	5
10	FZD4	1	0	4	1
10	FOSB	7	4	11	7
10	PRKDC	12	8	17	12
10	FLNB	7	4	11	7
10	PHIP	0	0	2	0
10	PIK3CA	2	0	5	2
10	LMTK2	1	0	4	1
10	FBN1	19	15	26	20
10	ANKRD52	8	5	13	9
10	RNF169	1	0	4	1
27	TEAD1	30	24	38	31
27	NUP98	1	0	4	1
27	AFAP1	5	2	8	5
27	PHIP	0	0	2	0
27	FRY	0	0	2	0
27	SCUBE3	12	8	17	13
27	HELZ2	1	0	4	1
27	CKAP5	14	10	20	15
27	USP9X	8	5	13	9
27	DYNC1H1	24	19	31	25
27	SLC5A3	0	0	2	0
27	KIAA1462	9	6	14	10
27	NRIP1	13	9	19	14
27	AFF4	0	0	2	0
27	LUZP1	6	3	10	6
27	ZC3H13	12	8	17	12
27	NF1	5	2	8	5
27	IQGAP1	35	29	43	36
27	GTF3C1	21	16	27	21
27	VPS13D	6	3	10	6
27	ITGA2	3	1	7	4
27	KIDINS220	23	18	30	24
27	FBN2	306	287	327	309
27	THBS1	1748	1710	1792	1755
27	NKTR	6	3	10	6
27	SON	14	10	20	15
27	CBX5	14	10	20	15
27	PCNX	3	1	7	4
27	HIVEP2	1	0	4	1
27	CASC5	0	0	2	0
27	PIK3CA	0	0	2	0
27	CBL	2	0	5	2
27	BRCA2	2	0	5	2
27	DNAJC13	7	4	11	7
27	NOTCH2	16	11	21	16
27	DIP2B	0	0	2	0
27	LRP1	91	81	103	92
27	C17orf51	0	0	2	0
27	ANKRD52	14	11	20	15
27	KIAA1147	0	0	2	0
27	MALAT1	19	14	25	20
27	ARL10	1	0	4	1
27	FLNA	222	206	239	223
27	CHD8	6	3	10	6
27	SRRM2	61	53	71	62
27	SPTBN1	77	67	87	77
27	PLXNA1	11	7	16	11
27	LMTK2	0	0	2	0
27	CENPF	8	5	13	9
27	ATP11A	6	3	10	6
27	ROCK2	24	19	31	25
27	FOSB	3	1	7	4
27	RNF169	0	0	2	0
27	KIAA2018	1	0	4	1
27	USP34	3	1	7	4
27	DIP2C	2	1	5	3
27	CACNA1A	3	2	7	4
27	PTPN14	7	4	11	7
27	DOPEY1	2	0	5	3
27	TNC	18	14	24	19
27	ZFC3H1	7	4	11	7
27	TNRC6A	1	0	4	1
27	FAM208B	7	4	11	7
27	VCAN	85	75	96	86
27	MAN1A2	3	1	7	4
27	KIAA1199	90	80	102	91
27	IGF2R	79	69	90	80
27	REV3L	4	2	8	5
27	ASCC3	2	1	5	2
27	LYST	1	0	4	1
27	COL7A1	6	3	10	6
27	GTF3C4	2	0	5	2
27	FLNB	8	5	13	9
27	COL5A1	141	128	155	142
27	AGPS	0	0	2	0
27	PRKDC	17	13	23	17
27	SPTAN1	63	55	73	64
27	TMOD2	0	0	2	0
27	MKI67	1	0	4	1
27	USP24	0	0	2	0
27	ZKSCAN2	2	0	5	2
27	DIEXF	1	0	4	1
27	PRRC2B	12	8	17	12
27	DOCK7	0	0	2	0
27	GPR107	32	26	39	32
27	PDS5A	6	3	10	6
27	FYCO1	5	3	9	5
27	PRKCA	9	6	14	10
27	RAB3B	1	0	4	1
27	STARD9	1	0	4	1
27	UBR2	0	0	2	0
27	FZD4	1	0	4	1
27	SSH1	12	8	17	12
27	VPS13A	0	0	2	0
27	EGFR	0	0	2	0
27	HEATR5B	0	0	2	0
27	MYH10	33	27	41	34
27	HIVEP1	8	5	13	9
27	H6PD	3	1	7	4
27	TLN1	51	44	61	52
27	KPNA4	3	1	7	4
27	SMARCA5	25	20	32	26
27	SLC7A11	4	2	8	5
27	PIEZO1	23	18	30	24
27	AMOTL1	7	4	11	7
27	C14orf132	5	2	8	5
27	FBN1	99	88	111	100
27	ALMS1	2	0	5	2
27	QSER1	0	0	2	0
27	DSEL	3	1	7	4
27	PAPPA	22	17	28	22
27	SVEP1	38	31	46	39
27	NR4A1	9	6	14	10
27	ABCA2	2	0	5	2
27	AKAP11	1	0	4	1
27	THSD4	11	7	16	11
27	SLC38A1	12	8	17	12
27	ALPK2	3	1	7	4
27	NUMA1	26	21	33	26
27	CREBBP	31	25	38	31
27	POLQ	0	0	2	0
27	MED14	2	0	5	2
27	UBR5	38	31	46	39
27	PRPF8	69	60	79	70
27	FASN	3	1	7	4
27	FLNC	50	43	59	51
27	SIPA1L3	9	6	14	10
27	HERC2	7	5	12	7
27	TPR	18	14	24	19
27	CEP250	5	2	8	5
15	EGFR	8	5	13	9
15	DOPEY1	0	0	2	0
15	SSH1	17	13	23	17
15	FYCO1	18	14	24	19
15	LUZP1	3	1	7	4
15	KIDINS220	11	8	16	11
15	FAM208B	3	1	7	4
15	SLC38A1	7	4	11	7
15	FASN	3	1	7	4
15	FBN1	99	88	111	100
15	REV3L	0	0	2	0
15	CKAP5	7	4	11	7
15	PRRC2B	13	9	19	14
15	GPR107	11	7	16	11
15	TNRC6A	2	0	5	2
15	KIAA2018	3	1	7	4
15	MALAT1	3	1	7	4
15	PTPN14	4	2	8	5
15	CENPF	0	0	2	0
15	PIK3CA	1	0	4	1
15	KPNA4	0	0	2	0
15	HEATR5B	0	0	2	0
15	PRKCA	16	12	22	16
15	THBS1	1565	1526	1606	1567
15	CASC5	0	0	2	0
15	RNF169	0	0	2	0
15	VPS13A	1	0	4	1
15	SCUBE3	2	0	5	3
15	DOCK7	2	1	5	2
15	PRPF8	70	61	81	71
15	ITGA2	0	0	2	0
15	POLQ	0	0	2	0
15	TMOD2	0	0	2	0
15	DIP2C	5	2	8	5
15	ANKRD52	12	8	17	12
15	CACNA1A	0	0	2	0
15	RAB3B	5	2	8	5
15	ROCK2	23	18	30	24
15	STARD9	0	0	2	0
15	AGPS	1	0	4	1
15	PRKDC	7	4	11	7
15	FLNC	80	71	91	81
15	PIEZO1	18	14	24	19
15	CREBBP	8	5	13	9
15	FLNA	556	531	583	557
15	SLC7A11	7	4	11	7
15	AMOTL1	3	1	7	4
15	NOTCH2	8	6	13	9
15	SPTAN1	18	14	24	19
15	AFF4	2	0	5	2
15	PAPPA	25	20	32	26
15	HERC2	2	1	5	2
15	NRIP1	2	1	5	2
15	ABCA2	3	1	7	4
15	PCNX	0	0	2	0
15	MED14	0	0	2	0
15	LRP1	101	91	114	102
15	SIPA1L3	2	1	5	2
15	NKTR	2	1	5	2
15	HELZ2	0	0	2	0
15	PHIP	1	0	4	1
15	LYST	0	0	2	0
15	BRCA2	0	0	2	0
15	COL5A1	152	139	166	152
15	COL7A1	7	4	11	7
15	AKAP11	0	0	2	0
15	IGF2R	52	44	61	52
15	PDS5A	1	0	4	1
15	NF1	4	2	8	5
15	GTF3C1	10	6	14	10
