feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CEP192	8.0	4.0	13.0	4.0	0.0	13.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
CEP250	0.0	0.0	13.0	17.0	26.0	8.0	0.0	8.0	4.0	0.0	8.0	13.0	4.0	0.0	17.0	8.0	4.0	8.0	8.0	13.0
CEP41	0.0	0.0	4.0	0.0	4.0	0.0	8.0	0.0	17.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0
CEP85	0.0	4.0	13.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
CERS6	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
CES2	4.0	4.0	0.0	4.0	4.0	4.0	4.0	4.0	0.0	0.0	17.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD6	4.0	8.0	8.0	21.0	0.0	17.0	0.0	13.0	0.0	0.0	4.0	0.0	13.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0
CHD8	0.0	17.0	4.0	17.0	4.0	21.0	13.0	0.0	17.0	17.0	8.0	0.0	8.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0
CHML	0.0	21.0	4.0	17.0	4.0	0.0	8.0	0.0	0.0	13.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0
CHST3	0.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0
CIC	0.0	4.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0
CIT	8.0	0.0	0.0	0.0	4.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
CLCN7	0.0	4.0	4.0	0.0	8.0	0.0	8.0	0.0	4.0	4.0	4.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0	0.0	4.0
CLN5	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0
CLOCK	4.0	0.0	0.0	17.0	4.0	21.0	26.0	0.0	8.0	0.0	8.0	4.0	0.0	13.0	0.0	0.0	13.0	0.0	0.0	0.0
CLSPN	26.0	21.0	13.0	4.0	4.0	0.0	17.0	8.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0
CLTCL1	0.0	0.0	0.0	4.0	8.0	0.0	0.0	17.0	0.0	17.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	0.0	4.0
CLUH	4.0	0.0	21.0	21.0	0.0	0.0	17.0	0.0	0.0	17.0	4.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	13.0	0.0
CNTLN	4.0	4.0	0.0	0.0	26.0	8.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	8.0	0.0
CNTN3	17.0	4.0	4.0	4.0	17.0	4.0	4.0	4.0	17.0	0.0	0.0	4.0	4.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0
CNTRL	4.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	8.0	4.0	0.0	13.0	0.0	0.0	26.0	17.0	0.0	4.0
COG3	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0
COL11A1	0.0	0.0	4.0	26.0	0.0	4.0	13.0	8.0	0.0	0.0	8.0	4.0	13.0	34.0	0.0	8.0	0.0	0.0	0.0	0.0
COL7A1	0.0	4.0	0.0	39.0	0.0	21.0	4.0	0.0	0.0	17.0	4.0	4.0	0.0	4.0	17.0	0.0	13.0	4.0	61.0	21.0
CREBBP	8.0	8.0	0.0	0.0	4.0	30.0	8.0	0.0	0.0	13.0	13.0	17.0	39.0	0.0	13.0	4.0	8.0	0.0	0.0	0.0
CREBL2	0.0	4.0	0.0	0.0	0.0	4.0	8.0	0.0	4.0	4.0	0.0	21.0	4.0	4.0	8.0	0.0	4.0	0.0	4.0	0.0
CRNKL1	0.0	0.0	0.0	13.0	4.0	8.0	13.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
CRY2	0.0	8.0	0.0	17.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	0.0	4.0	0.0	0.0	0.0	4.0
CRYBG3	4.0	13.0	0.0	8.0	4.0	4.0	4.0	4.0	4.0	21.0	4.0	0.0	4.0	13.0	8.0	0.0	4.0	0.0	0.0	0.0
CSPG4	8.0	4.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	17.0	0.0	4.0	0.0
CSPP1	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	17.0	0.0	0.0	17.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
CSRNP2	4.0	0.0	8.0	0.0	4.0	0.0	4.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSTF2T	0.0	0.0	8.0	13.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTCF	0.0	4.0	17.0	4.0	21.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	21.0	8.0
CTDP1	0.0	4.0	0.0	0.0	4.0	13.0	0.0	4.0	0.0	0.0	8.0	4.0	17.0	0.0	4.0	8.0	4.0	0.0	21.0	8.0
CTPS2	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
CUL7	0.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	8.0	0.0	0.0
CUL9	13.0	21.0	0.0	4.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYFIP2	8.0	0.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	13.0	4.0	8.0	4.0	8.0	0.0	21.0	0.0	17.0	0.0
CYP2U1	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	30.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0
DAAM2	0.0	8.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0
DARS2	4.0	4.0	0.0	17.0	0.0	30.0	4.0	0.0	0.0	0.0	0.0	0.0	39.0	17.0	4.0	0.0	0.0	4.0	8.0	0.0
DCBLD1	0.0	0.0	0.0	0.0	0.0	0.0	13.0	8.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
DCLRE1A	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	17.0	0.0	0.0
DDX26B	13.0	8.0	0.0	13.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0
DDX60	4.0	0.0	4.0	0.0	0.0	8.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0
DDX60L	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	8.0	0.0	0.0	0.0	13.0	8.0	0.0	4.0	0.0	0.0
DENND4C	0.0	0.0	8.0	0.0	0.0	8.0	0.0	8.0	0.0	8.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
DENND6A	0.0	0.0	0.0	17.0	13.0	0.0	0.0	4.0	0.0	13.0	4.0	0.0	4.0	4.0	0.0	8.0	4.0	0.0	0.0	4.0
DGKI	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	13.0	8.0
DGKQ	4.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0
DGKZP1	0.0	4.0	13.0	0.0	13.0	0.0	13.0	0.0	17.0	8.0	0.0	8.0	48.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
DHX16	0.0	17.0	4.0	4.0	8.0	0.0	4.0	8.0	4.0	34.0	4.0	0.0	21.0	8.0	8.0	8.0	0.0	0.0	0.0	0.0
DHX34	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
DHX37	0.0	0.0	0.0	0.0	4.0	0.0	21.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
DHX38	4.0	0.0	4.0	0.0	8.0	8.0	0.0	0.0	0.0	8.0	4.0	4.0	30.0	4.0	0.0	0.0	4.0	13.0	4.0	8.0
DHX57	8.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	0.0	4.0
DHX8	21.0	8.0	0.0	0.0	4.0	13.0	8.0	4.0	43.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0
DIAPH1	4.0	30.0	0.0	0.0	21.0	0.0	13.0	8.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	21.0	0.0
DIEXF	0.0	0.0	13.0	8.0	8.0	0.0	17.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	8.0	0.0	0.0
DIO2	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
DIP2A	0.0	0.0	21.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
DIP2B	4.0	13.0	4.0	8.0	4.0	0.0	0.0	4.0	4.0	4.0	4.0	0.0	21.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
DIP2C	13.0	13.0	13.0	4.0	4.0	0.0	0.0	8.0	4.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	26.0	0.0	8.0	8.0
DIS3L	0.0	4.0	0.0	13.0	4.0	0.0	13.0	13.0	30.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	8.0	8.0
DISP1	8.0	0.0	0.0	0.0	13.0	4.0	8.0	0.0	8.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0
DMD	4.0	0.0	8.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0
DMXL1	0.0	4.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	13.0	17.0	0.0	8.0	0.0	4.0	8.0	4.0	4.0
DMXL2	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
DNA2	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNAH5	4.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	17.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0
DNAJC13	21.0	26.0	8.0	21.0	0.0	0.0	0.0	0.0	4.0	21.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0
DNAJC18	4.0	0.0	8.0	21.0	4.0	0.0	4.0	0.0	0.0	4.0	4.0	0.0	8.0	13.0	4.0	4.0	4.0	0.0	4.0	0.0
DOCK10	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	4.0	0.0	0.0	0.0	8.0	8.0
DOCK11	4.0	0.0	21.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	30.0	0.0	0.0	4.0	0.0	0.0
DOCK5	4.0	17.0	4.0	0.0	0.0	4.0	34.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
DOCK7	0.0	13.0	8.0	21.0	13.0	4.0	4.0	13.0	13.0	26.0	4.0	8.0	26.0	4.0	8.0	0.0	4.0	0.0	21.0	0.0
DOPEY1	0.0	8.0	0.0	0.0	0.0	13.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
DPYD	0.0	0.0	0.0	4.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	8.0	0.0
DSEL	4.0	0.0	17.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
DSP	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	13.0
DTX3L	4.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	4.0	4.0
DTX4	4.0	17.0	0.0	8.0	4.0	4.0	8.0	0.0	0.0	0.0	4.0	4.0	0.0	8.0	4.0	0.0	4.0	0.0	0.0	0.0
DUSP16	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
DYNC1H1	8.0	39.0	0.0	13.0	13.0	39.0	0.0	39.0	4.0	48.0	26.0	13.0	48.0	0.0	13.0	8.0	17.0	0.0	4.0	0.0
DZIP3	13.0	17.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
E2F3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	4.0	0.0	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
EEF2K	4.0	0.0	8.0	26.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	4.0	13.0	0.0	4.0	0.0	13.0	8.0	0.0	0.0
EFNB2	8.0	0.0	0.0	8.0	13.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	39.0	0.0
EGFR	17.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0	17.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0
EHBP1L1	0.0	4.0	4.0	21.0	4.0	0.0	13.0	8.0	8.0	0.0	0.0	13.0	17.0	0.0	8.0	0.0	0.0	4.0	4.0	4.0
EHD3	4.0	8.0	4.0	8.0	4.0	0.0	0.0	13.0	30.0	8.0	0.0	0.0	4.0	4.0	8.0	17.0	0.0	4.0	17.0	0.0
EHMT1	4.0	8.0	8.0	8.0	0.0	13.0	13.0	8.0	0.0	34.0	8.0	4.0	17.0	17.0	4.0	4.0	13.0	0.0	13.0	0.0
EIF4EBP2	13.0	0.0	8.0	0.0	0.0	4.0	8.0	4.0	4.0	43.0	4.0	4.0	8.0	0.0	0.0	0.0	4.0	0.0	4.0	8.0
EIF4ENIF1	0.0	17.0	17.0	13.0	17.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	4.0	4.0	13.0	30.0	8.0
ELF4	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	4.0	8.0	4.0	4.0	17.0	0.0	4.0	0.0	4.0	4.0	0.0
ELMSAN1	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
ENDOD1	4.0	13.0	8.0	4.0	4.0	4.0	0.0	0.0	4.0	0.0	4.0	4.0	21.0	4.0	8.0	0.0	0.0	8.0	13.0	0.0
ENTPD7	4.0	0.0	13.0	4.0	13.0	4.0	4.0	0.0	8.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
EPB41	0.0	4.0	0.0	4.0	0.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
EPC2	13.0	0.0	0.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	0.0	13.0	0.0
EPHA2	0.0	4.0	4.0	0.0	0.0	17.0	0.0	13.0	4.0	0.0	0.0	4.0	4.0	8.0	26.0	0.0	8.0	0.0	0.0	0.0
ERCC6L	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	4.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	8.0	4.0
ERI1	13.0	0.0	4.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	4.0	8.0
ERMAP	4.0	0.0	4.0	8.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	13.0	0.0
ERMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0
ERN1	4.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	13.0	0.0	8.0	0.0	0.0	0.0
ERVK13-1	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
ESCO1	0.0	0.0	0.0	8.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ETV3	0.0	0.0	4.0	13.0	4.0	0.0	4.0	4.0	0.0	4.0	0.0	0.0	17.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0
ETV5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0
EVC	0.0	0.0	0.0	21.0	0.0	26.0	8.0	26.0	4.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	4.0	8.0	0.0
EVC2	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0
EXO1	0.0	13.0	0.0	4.0	8.0	0.0	0.0	13.0	13.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
EXOC2	4.0	8.0	0.0	4.0	0.0	0.0	21.0	4.0	4.0	4.0	8.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	17.0
EXOC6B	8.0	0.0	0.0	8.0	0.0	8.0	8.0	13.0	17.0	30.0	13.0	4.0	17.0	0.0	0.0	0.0	17.0	0.0	4.0	4.0
EYA3	0.0	4.0	8.0	4.0	0.0	0.0	0.0	8.0	8.0	4.0	0.0	4.0	17.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0
FAM120C	0.0	4.0	0.0	0.0	13.0	0.0	4.0	4.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0
FAM126B	0.0	0.0	0.0	0.0	0.0	4.0	8.0	8.0	21.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	4.0
FAM129A	8.0	8.0	4.0	4.0	0.0	4.0	8.0	4.0	0.0	8.0	0.0	4.0	4.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0
FAM131B	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0
FAM13A	8.0	4.0	4.0	0.0	0.0	26.0	21.0	4.0	4.0	0.0	8.0	4.0	0.0	0.0	17.0	4.0	0.0	0.0	0.0	4.0
FAM13B	0.0	0.0	4.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	17.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
FAM168A	0.0	0.0	0.0	0.0	8.0	0.0	8.0	4.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
FAM171A1	4.0	0.0	4.0	0.0	74.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	13.0	8.0	8.0	4.0	8.0	0.0	4.0	8.0
FAM171B	17.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	13.0	13.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0
FAM178A	26.0	0.0	8.0	13.0	21.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	13.0	0.0	13.0	0.0
FAM179B	0.0	0.0	21.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM198B	4.0	0.0	4.0	0.0	8.0	8.0	17.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0
FAM208B	0.0	0.0	4.0	8.0	4.0	0.0	8.0	0.0	21.0	4.0	4.0	8.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	0.0
FAM212B	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	4.0	4.0	0.0	4.0	4.0	13.0	0.0
FAM214A	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0
FAM217B	17.0	4.0	0.0	0.0	0.0	8.0	26.0	8.0	4.0	0.0	8.0	0.0	8.0	8.0	0.0	0.0	8.0	13.0	0.0	0.0
FAM26E	8.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM46A	0.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	21.0	0.0	26.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
FAM46C	0.0	0.0	0.0	0.0	4.0	8.0	0.0	4.0	4.0	13.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	13.0
FAM53C	0.0	0.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
FAM63B	13.0	8.0	13.0	13.0	4.0	0.0	8.0	4.0	0.0	17.0	4.0	0.0	0.0	17.0	8.0	0.0	26.0	0.0	4.0	0.0
FAM83G	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
FAM8A1	0.0	0.0	4.0	8.0	0.0	17.0	0.0	0.0	0.0	0.0	4.0	0.0	13.0	4.0	4.0	0.0	0.0	8.0	8.0	0.0
FAN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	17.0	8.0	4.0	4.0	4.0	8.0	4.0	0.0
FASN	4.0	0.0	17.0	30.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0
FBXO30	0.0	0.0	0.0	0.0	4.0	30.0	8.0	0.0	0.0	0.0	8.0	8.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO42	0.0	8.0	8.0	0.0	8.0	8.0	0.0	0.0	0.0	4.0	0.0	4.0	8.0	4.0	4.0	8.0	0.0	0.0	0.0	4.0
FBXO45	0.0	0.0	0.0	0.0	4.0	4.0	8.0	4.0	0.0	13.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0
FCHSD2	0.0	8.0	4.0	4.0	0.0	0.0	4.0	0.0	26.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0
FEM1C	13.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0	0.0	4.0	0.0	13.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0
FGD1	8.0	0.0	4.0	0.0	8.0	8.0	0.0	4.0	13.0	4.0	0.0	0.0	4.0	0.0	13.0	0.0	4.0	0.0	13.0	0.0
FHOD1	8.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	39.0	0.0	8.0	13.0	0.0	0.0
FITM2	0.0	0.0	17.0	0.0	0.0	4.0	4.0	0.0	21.0	0.0	8.0	0.0	0.0	0.0	0.0	13.0	4.0	4.0	0.0	0.0
FKBP5	0.0	4.0	4.0	8.0	0.0	4.0	13.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	0.0	0.0	13.0	0.0	0.0	0.0
FLNB	17.0	8.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
FLNC	8.0	30.0	4.0	4.0	8.0	34.0	26.0	4.0	0.0	8.0	21.0	26.0	21.0	8.0	13.0	0.0	4.0	0.0	13.0	8.0
FLRT3	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
FMNL2	0.0	0.0	0.0	0.0	0.0	4.0	8.0	8.0	0.0	13.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FMNL3	0.0	4.0	0.0	4.0	26.0	0.0	8.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	8.0
FNBP1L	0.0	0.0	0.0	8.0	0.0	0.0	13.0	8.0	8.0	26.0	21.0	0.0	0.0	0.0	4.0	0.0	0.0	17.0	4.0	0.0
FNIP1	4.0	8.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	0.0	8.0	4.0	0.0
FOSB	13.0	8.0	4.0	0.0	0.0	4.0	0.0	0.0	4.0	4.0	4.0	4.0	21.0	0.0	34.0	4.0	4.0	0.0	0.0	8.0
FOXJ2	4.0	8.0	0.0	17.0	0.0	0.0	8.0	0.0	0.0	21.0	8.0	0.0	0.0	4.0	0.0	0.0	8.0	4.0	8.0	8.0
FOXK1	8.0	0.0	4.0	8.0	17.0	0.0	4.0	0.0	34.0	8.0	0.0	4.0	4.0	0.0	4.0	0.0	8.0	0.0	0.0	4.0
FOXK2	0.0	17.0	0.0	13.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
